BIPA	GRAPHEME	FEATURES	LATEX
	ɒː	empty:vowel:−high +low +back +round +voice −nasal −spread glottis −constricted glottis	\textturnscripta\textlengthmark
	ɔː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textopeno\textlengthmark
	eː	empty:vowel:−high −low −back −round +voice −nasal −spread glottis −constricted glottis	e\textlengthmark
	ɛː	empty:vowel:−high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textipa{E}\textlengthmark
	əː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textschwa\textlengthmark
	ɚː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textrhookschwa\textlengthmark
	ɘː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textreve\textlengthmark
	ɜː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textipa{3}\textlengthmark
	ɝː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textrhookrevepsilon\textlengthmark
	ɞː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textcloseepsilon\textlengthmark
	ɤː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textipa{7}\textlengthmark
	iː	empty:vowel:+high −low −back −round +voice −nasal −spread glottis −constricted glottis	i\textlengthmark
	ɪː	empty:vowel:+high −low −back −round +voice −nasal −spread glottis −constricted glottis	\textipa{I}\textlengthmark
	ɨː	empty:vowel:+high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textbari\textlengthmark
	ɯː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textturnm\textlengthmark
	oː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	o\textlengthmark
	ɵː	empty:vowel:−high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textbaro\textlengthmark
	øː	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis	\o\textlengthmark
	ɶː	empty:vowel:−high +low −back +round +voice −nasal −spread glottis −constricted glottis	\textscoelig\textlengthmark
	œː	empty:vowel:−high −low −back +round +voice −nasal −spread glottis −constricted glottis	\oe\textlengthmark
	uː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	u\textlengthmark
	ʉː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textbaru\textlengthmark
	ʊː	empty:vowel:+high −low +back +round +voice −nasal −spread glottis −constricted glottis	\textupsilon\textlengthmark
	ʌː	empty:vowel:−high −low +back −round +voice −nasal −spread glottis −constricted glottis	\textturnv\textlengthmark
	yː	empty:vowel:+high −low −back +round +voice −nasal −spread glottis −constricted glottis	y\textlengthmark
	ʏː	empty:vowel:+high −low −back +round +voice −nasal −spread glottis −constricted glottis	\textipa{Y}\textlengthmark
	æː	empty:vowel:−high +low −back −round +voice −nasal −spread glottis −constricted glottis	\ae\textlengthmark
	pː	labial:plosive:−voice	p\textlengthmark
	bː	labial:plosive:+voice	b\textlengthmark
	ɓː	labial:plosive:+voice	\texthtb\textlengthmark
	ɸː	labial:fricative:−voice	\textipa{F}\textlengthmark
	βː	labial:fricative:+voice	\textipa{B}\textlengthmark
	p͡ɸː	labial:affricate:−voice	\t{p͡\textipa{F}}\textlengthmark
	b͡βː	labial:affricate:+voice	\t{b͡\textipa{B}}\textlengthmark
	mː	labial:nasal:+voice +nasal	m\textlengthmark
	fː	labiodental:fricative:−voice	f\textlengthmark
	vː	labiodental:fricative:+voice	v\textlengthmark
	p͡fː	labiodental:affricate:−voice	\t{pf}\textlengthmark
	b͡vː	labiodental:affricate:+voice	\t{b͡v}\textlengthmark
	ɱː	labiodental:nasal:+voice +nasal	\textltailm\textlengthmark
	t̪ː	dental:plosive:−voice	\textsubbridge{t}\textlengthmark
	d̪ː	dental:plosive:+voice	\textsubbridge{d}\textlengthmark
	ɗː	dental:plosive:+voice	\texthtd\textlengthmark
	d̠ː	dental:plosive:+voice	\textsubbar{d}\textlengthmark
	θː	dental:fricative:−voice	\textipa{T}\textlengthmark
	ðː	dental:fricative:+voice	\textipa{D}\textlengthmark
	t̪͡θː	dental:affricate:−voice	\t{\textsubbridge{t}͡ \textipa{T}}\textlengthmark
	t̪͡s̪ː	dental:affricate:−voice	\t{\textsubbridge{t}\textsubbridge{s}}\textlengthmark
