BIPA	GRAPHEME	FEATURES	LATEX
	ŋʰʷː	velar, labial:nasal:+voice +nasal +spread glottis	\textipa{N} extsuperscript{h}\super w\textlengthmark
	qʰʷː	uvular, labial:plosive:−voice +spread glottis	q extsuperscript{h}\super w\textlengthmark
	ɢʰʷː	uvular, labial:plosive:+voice +spread glottis	\textscg extsuperscript{h}\super w\textlengthmark
	ʛʰʷː	uvular, labial:plosive:+voice +spread glottis	\texthtscg extsuperscript{h}\super w\textlengthmark
	ɴʰʷː	uvular, labial:nasal:+voice +nasal +spread glottis	\textscn extsuperscript{h}\super w\textlengthmark
	ʔʰʷː	glottal, labial:plosive:−voice +spread glottis	\textglotstop extsuperscript{h}\super w\textlengthmark
	m̥ʰʷː	labial:nasal:−voice +nasal +spread glottis	*m extsuperscript{h}\super w\textlengthmark
	ɱ̥ʰʷː	labiodental, labial:nasal:−voice +nasal +spread glottis	*\textltailm extsuperscript{h}\super w\textlengthmark
	n̥ʰʷː	alveolar, labial:nasal:−voice +nasal +spread glottis	*n extsuperscript{h}\super w\textlengthmark
	ɳ̥ʰʷː	retroflex, labial:nasal:−voice +nasal +spread glottis	*\:n extsuperscript{h}\super w\textlengthmark
	ɲ̥ʰʷː	palatal, labial:nasal:−voice +nasal +spread glottis	*\textltailn extsuperscript{h}\super w\textlengthmark
	ŋ̥ʰʷː	velar, labial:nasal:−voice +nasal +spread glottis	*\textipa{N} extsuperscript{h}\super w\textlengthmark
	ɴ̥ʰʷː	uvular, labial:nasal:−voice +nasal +spread glottis	*\textscn extsuperscript{h}\super w\textlengthmark
	p̩ʷː	labial:plosive:−voice +syllabic	\textipa{\s{p}}\super w\textlengthmark
	b̩ʷː	labial:plosive:+voice +syllabic	\textipa{\s{b}}\super w\textlengthmark
	ɓ̩ʷː	labial:plosive:+voice +syllabic	\textipa{\s{\texthtb}}\super w\textlengthmark
	ɸ̩ʷː	labial:fricative:−voice +syllabic	\textipa{\sF}\super w\textlengthmark
	β̩ʷː	labial:fricative:+voice +syllabic	\textipa{\sB}\super w\textlengthmark
	m̩ʷː	labial:nasal:+voice +nasal +syllabic	\textsyllabic{m}\super w\textlengthmark
	f̩ʷː	labiodental, labial:fricative:−voice +syllabic	\textipa{\s{f}}\super w\textlengthmark
	v̩ʷː	labiodental, labial:fricative:+voice +syllabic	\textipa{\s{v}}\super w\textlengthmark
	ɱ̩ʷː	labiodental, labial:nasal:+voice +nasal +syllabic	\textipa{\s{\textltailm}}\super w\textlengthmark
	ɗ̩ʷː	dental, labial:plosive:+voice +syllabic	\textipa{\s{\texthtd}}\super w\textlengthmark
	θ̩ʷː	dental, labial:fricative:−voice +syllabic	\textipa{\sT}\super w\textlengthmark
	ð̩ʷː	dental, labial:fricative:+voice +syllabic	\textipa{\sD}\super w\textlengthmark
	t̩ʷː	alveolar, labial:plosive:−voice +syllabic	\textipa{\s{t}}\super w\textlengthmark
	d̩ʷː	alveolar, labial:plosive:+voice +syllabic	\textipa{\s{d}}\super w\textlengthmark
	s̩ʷː	alveolar, labial:fricative:−voice +syllabic	\textipa{\s{s}}\super w\textlengthmark
	z̩ʷː	alveolar, labial:fricative:+voice +syllabic	\textipa{\s{z}}\super w\textlengthmark
	ɬ̩ʷː	alveolar, labial:fricative:+voice +lateral +syllabic	\textipa{\s{\textbeltl}}\super w\textlengthmark
	ɮ̩ʷː	alveolar, labial:fricative:+voice +lateral +syllabic	\textipa{\s{\textlyoghlig}}\super w\textlengthmark
	n̩ʷː	alveolar, labial:nasal:+voice +nasal +syllabic	\textsyllabic{n}\super w\textlengthmark
	ʃ̩ʷː	palatoalveolar, labial:fricative:−voice +syllabic	\textipa{\sS}\super w\textlengthmark
	ʒ̩ʷː	palatoalveolar, labial:fricative:+voice +syllabic	\textipa{\s{\textyogh}}\super w\textlengthmark
	ʈ̩ʷː	retroflex, labial:plosive:−voice +syllabic	\textipa{\s{\textrtailt}}\super w\textlengthmark
	ɖ̩ʷː	retroflex, labial:plosive:+voice +syllabic	\textipa{\s{\textrtaild}}\super w\textlengthmark
	ʂ̩ʷː	retroflex, labial:fricative:−voice +syllabic	\textipa{\s{\textrtails}}\super w\textlengthmark
	ʐ̩ʷː	retroflex, labial:fricative:+voice +syllabic	\textipa{\s{\textrtailz}}\super w\textlengthmark
	ɳ̩ʷː	retroflex, labial:nasal:+voice +nasal +syllabic	\textipa{\s{\:n}}\super w\textlengthmark
	c̩ʷː	palatal, labial:plosive:−voice +syllabic	\textipa{\s{c}}\super w\textlengthmark
	ɟ̩ʷː	palatal, labial:plosive:+voice +syllabic	\textipa{\s{\textbardotlessj}}\super w\textlengthmark
	ç̩ʷː	palatal, labial:fricative:−voice +syllabic	\textipa{\s{\c{c}}}\super w\textlengthmark
	ʝ̩ʷː	palatal, labial:fricative:+voice +syllabic	\textipa{\s{\textctj}}\super w\textlengthmark
	ɲ̩ʷː	palatal, labial:nasal:+voice +nasal +syllabic	\textipa{\s{\textltailn}}\super w\textlengthmark
	k̩ʷː	velar, labial:plosive:−voice +syllabic	\textipa{\s{k}}\super w\textlengthmark
	ɡ̩ʷː	velar, labial:plosive:+voice +syllabic	\textipa{\s{ɡ}}\super w\textlengthmark
	ɠ̩ʷː	velar, labial:plosive:+voice +syllabic	\textipa{\s{\texthtg}}\super w\textlengthmark
	x̩ʷː	velar, labial:fricative:−voice +syllabic	\textipa{\s{x}}\super w\textlengthmark
	ɣ̩ʷː	velar, labial:fricative:+voice +syllabic	\textipa{\sG}\super w\textlengthmark
	ŋ̩ʷː	velar, labial:nasal:+voice +nasal +syllabic	\textipa{\sN}\super w\textlengthmark
	q̩ʷː	uvular, labial:plosive:−voice +syllabic	\textipa{\s{q}}\super w\textlengthmark
	ɢ̩ʷː	uvular, labial:plosive:+voice +syllabic	\textipa{\s{\textscg}}\super w\textlengthmark
	ʛ̩ʷː	uvular, labial:plosive:+voice +syllabic	\textipa{\s{\texthtscg}}\super w\textlengthmark
	χ̩ʷː	uvular, labial:fricative:−voice +syllabic	\textipa{\s{\textchi}}\super w\textlengthmark
	ʁ̩ʷː	uvular, labial:fricative:+voice +syllabic	\textipa{\sK}\super w\textlengthmark
	ɴ̩ʷː	uvular, labial:nasal:+voice +nasal +syllabic	\textipa{\s{\textscn}}\super w\textlengthmark
	ʕ̩ʷː	pharyngeal, labial:fricative:+voice +syllabic	\textipa{\s{\textrevglotstop}}\super w\textlengthmark
	ħ̩ʷː	pharyngeal, labial:fricative:−voice +syllabic	\textipa{\s{\textcrh}}\super w\textlengthmark
	ʔ̩ʷː	glottal, labial:plosive:−voice +syllabic	\textipa{\s{\textglotstop}}\super w\textlengthmark
	h̩ʷː	glottal, labial:fricative:−voice +syllabic	\textipa{\s{h}}\super w\textlengthmark
	ɦ̩ʷː	glottal, labial:fricative:+voice +syllabic	\textipa{\s{\texthth}}\super w\textlengthmark
	m̥̩ʷː	labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *m}}\super w\textlengthmark
	ɱ̥̩ʷː	labiodental, labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textltailm}}\super w\textlengthmark
	n̥̩ʷː	alveolar, labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *n}}\super w\textlengthmark
	ɳ̥̩ʷː	retroflex, labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *\:n}}\super w\textlengthmark
	ɲ̥̩ʷː	palatal, labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textltailn}}\super w\textlengthmark
	ŋ̥̩ʷː	velar, labial:nasal:−voice +nasal +syllabic	*\textipa{\sN}\super w\textlengthmark
	ɴ̥̩ʷː	uvular, labial:nasal:−voice +nasal +syllabic	\textipa{\s{ *\textscn}}\super w\textlengthmark
	ʍː	labial, velar:fricative:−voice	\textturnw\textlengthmark
	ɧː	palatoalveolar, velar:fricative:−voice	\texththeng\textlengthmark
	ɕː	alveolar, palatal:fricative:−voice	\textctc\textlengthmark
	ʑː	alveolar, palatal:fricative:+voice	\textctz\textlengthmark
	k͡pː	labial, velar:plosive:−voice	\t{k͡p}\textlengthmark
	ɡ͡bː	labial, velar:plosive:+voice	\t{g͡b}\textlengthmark
	p͡tː	labial, alveolar:plosive:−voice	\t{p͡t}\textlengthmark
	b͡dː	labial, alveolar:plosive:+voice	\t{b͡d}\textlengthmark
	t͡ɕː	alveolar, palatal:affricate:−voice	\t{t͡\textctc}\textlengthmark
	d͡ʑː	alveolar, palatal:affricate:+voice	\t{d͡\textctz}\textlengthmark
	ʍ̩ː	labial, velar:fricative:−voice +syllabic	\textipa{\s{\textturnw}}\textlengthmark
	ɧ̩ː	palatoalveolar, velar:fricative:−voice +syllabic	\textipa{\s{\texththeng}}\textlengthmark
	ɕ̩ː	alveolar, palatal:fricative:−voice +syllabic	\textipa{\s{\textctc}}\textlengthmark
	ʑ̩ː	alveolar, palatal:fricative:+voice +syllabic	\textipa{\s{\textctz}}\textlengthmark
	ʍʲː	labial, velar, palatal:fricative:−voice	\textturnw\super j\textlengthmark
	ɧʲː	palatoalveolar, velar, palatal:fricative:−voice	\texththeng\super j\textlengthmark
	ɕʲː	alveolar, palatal:fricative:−voice	\textctc\super j\textlengthmark
	ʑʲː	alveolar, palatal:fricative:+voice	\textctz\super j\textlengthmark
	ʍ̩ʲː	labial, velar, palatal:fricative:−voice +syllabic	\textipa{\s{\textturnw}}\super j\textlengthmark
	ɧ̩ʲː	palatoalveolar, velar, palatal:fricative:−voice +syllabic	\textipa{\s{\texththeng}}\super j\textlengthmark
	ɕ̩ʲː	alveolar, palatal:fricative:−voice +syllabic	\textipa{\s{\textctc}}\super j\textlengthmark
	ʑ̩ʲː	alveolar, palatal:fricative:+voice +syllabic	\textipa{\s{\textctz}}\super j\textlengthmark
	ʍʷː	labial, velar:fricative:−voice	\textturnw\super w\textlengthmark
	ɧʷː	palatoalveolar, velar, labial:fricative:−voice	\texththeng\super w\textlengthmark
	ɕʷː	alveolar, palatal, labial:fricative:−voice	\textctc\super w\textlengthmark
	ʑʷː	alveolar, palatal, labial:fricative:+voice	\textctz\super w\textlengthmark
	ʍ̩ʷː	labial, velar:fricative:−voice +syllabic	\textipa{\s{\textturnw}}\super w\textlengthmark
	ɧ̩ʷː	palatoalveolar, velar, labial:fricative:−voice +syllabic	\textipa{\s{\texththeng}}\super w\textlengthmark
	ɕ̩ʷː	alveolar, palatal, labial:fricative:−voice +syllabic	\textipa{\s{\textctc}}\super w\textlengthmark
	ʑ̩ʷː	alveolar, palatal, labial:fricative:+voice +syllabic	\textipa{\s{\textctz}}\super w\textlengthmark
	k͡pʰː	labial, velar:plosive:−voice +spread glottis	\t{k͡p} extsuperscript{h}\textlengthmark
	ɡ͡bʰː	labial, velar:plosive:+voice +spread glottis	\t{g͡b} extsuperscript{h}\textlengthmark
	p͡tʰː	labial, alveolar:plosive:−voice +spread glottis	\t{p͡t} extsuperscript{h}\textlengthmark
	b͡dʰː	labial, alveolar:plosive:+voice +spread glottis	\t{b͡d} extsuperscript{h}\textlengthmark
	t͡ɕʰː	alveolar, palatal:affricate:−voice +spread glottis	\t{t͡\textctc} extsuperscript{h}\textlengthmark
	d͡ʑʰː	alveolar, palatal:affricate:+voice +spread glottis	\t{d͡\textctz} extsuperscript{h}\textlengthmark
	k͡pʷː	labial, velar:plosive:−voice	\t{k͡p}\super w\textlengthmark
	ɡ͡bʷː	labial, velar:plosive:+voice	\t{g͡b}\super w\textlengthmark
	p͡tʷː	labial, alveolar:plosive:−voice	\t{p͡t}\super w\textlengthmark
	b͡dʷː	labial, alveolar:plosive:+voice	\t{b͡d}\super w\textlengthmark
	t͡ɕʷː	alveolar, palatal, labial:affricate:−voice	\t{t͡\textctc}\super w\textlengthmark
	d͡ʑʷː	alveolar, palatal, labial:affricate:+voice	\t{d͡\textctz}\super w\textlengthmark
	k͡pʲː	labial, velar, palatal:plosive:−voice	\t{k͡p}\super j\textlengthmark
	ɡ͡bʲː	labial, velar, palatal:plosive:+voice	\t{g͡b}\super j\textlengthmark
	p͡tʲː	labial, alveolar, palatal:plosive:−voice	\t{p͡t}\super j\textlengthmark
	b͡dʲː	labial, alveolar, palatal:plosive:+voice	\t{b͡d}\super j\textlengthmark
	t͡ɕʲː	alveolar, palatal:affricate:−voice	\t{t͡\textctc}\super j\textlengthmark
	d͡ʑʲː	alveolar, palatal:affricate:+voice	\t{d͡\textctz}\super j\textlengthmark
	p͡ɸʰː	labial:affricate:−voice +spread glottis	\t{p͡\textipa{F}} extsuperscript{h}\textlengthmark
	b͡βʰː	labial:affricate:+voice +spread glottis	\t{b͡\textipa{B}} extsuperscript{h}\textlengthmark
	p͡fʰː	labiodental:affricate:−voice +spread glottis	\t{pf} extsuperscript{h}\textlengthmark
	b͡vʰː	labiodental:affricate:+voice +spread glottis	\t{b͡v} extsuperscript{h}\textlengthmark
	t̪ʰː	dental:plosive:−voice +spread glottis	\textsubbridge{t} extsuperscript{h}\textlengthmark
	d̪ʰː	dental:plosive:+voice +spread glottis	\textsubbridge{d} extsuperscript{h}\textlengthmark
	d̠ʰː	dental:plosive:+voice +spread glottis	\textsubbar{d} extsuperscript{h}\textlengthmark
	t̪͡θʰː	dental:affricate:−voice +spread glottis	\t{\textsubbridge{t}͡ \textipa{T}} extsuperscript{h}\textlengthmark
	t̪͡s̪ʰː	dental:affricate:−voice +spread glottis	\t{\textsubbridge{t}\textsubbridge{s}} extsuperscript{h}\textlengthmark
	d̪͡z̪ʰː	dental:affricate:+voice +spread glottis	\t{\textsubbridge{d}\textsubbridge{z}} extsuperscript{h}\textlengthmark
	d̪͡ɮ̪ʰː	dental:affricate:+voice +lateral +spread glottis	\t{\textsubbridge{d}͡\textsubbridge{\textlyoghlig}} extsuperscript{h}\textlengthmark
	d̠͡ɮ̠ʰː	dental:affricate:+voice +lateral +spread glottis	\t{\textsubbar{d}͡\textsubbar{\textlyoghlig}} extsuperscript{h}\textlengthmark
	t̪͡ɬ̪ʰː	dental:affricate:+voice +lateral +spread glottis	\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}} extsuperscript{h}\textlengthmark
	d͡zʰː	dental:affricate:+voice +spread glottis	\t{dz} extsuperscript{h}\textlengthmark
	d͡z͎ʰː	dental:affricate:+voice +spread glottis	\t{d͡\begin{IPA}\whistle{z}\end{IPA}} extsuperscript{h}\textlengthmark
	d̪͡ðʰː	dental:affricate:+voice +spread glottis	\t{\textsubbridge{d}͡ð} extsuperscript{h}\textlengthmark
	n̪ʰː	dental:nasal:+voice +nasal +spread glottis	\textsubbridge{n} extsuperscript{h}\textlengthmark
	t̠ʰː	alveolar:plosive:−voice +spread glottis	\textsubbar{t} extsuperscript{h}\textlengthmark
	t͡sʰː	alveolar:affricate:−voice +spread glottis	\t{ts} extsuperscript{h}\textlengthmark
	t͡s͎ʰː	alveolar:affricate:−voice +spread glottis	\t{t͡\begin{IPA}\whistle{s}\end{IPA}} extsuperscript{h}\textlengthmark
	d͡ɮʰː	alveolar:affricate:+voice +lateral +spread glottis	\t{d͡\textlyoghlig} extsuperscript{h}\textlengthmark
	t͡ɬʰː	alveolar:affricate:+voice +lateral +spread glottis	\t{t͡\textbeltl} extsuperscript{h}\textlengthmark
	t͡ɬ̲ʰː	alveolar:affricate:+voice +lateral +spread glottis	\t{t͡\textsubbar{\textbeltl}} extsuperscript{h}\textlengthmark
	n̠ʰː	alveolar:nasal:+voice +nasal +spread glottis	\textipa{\=*n} extsuperscript{h}\textlengthmark
	t͡ʃʰː	palatoalveolar:affricate:−voice +spread glottis	\t{t͡\textipa{S}} extsuperscript{h}\textlengthmark
	d͡ʒʰː	palatoalveolar:affricate:+voice +spread glottis	\t{d͡\textyogh} extsuperscript{h}\textlengthmark
	ʈ͡ʂʰː	retroflex:affricate:−voice +spread glottis	\t{\textrtailt \textrtails} extsuperscript{h}\textlengthmark
	ɖ͡ʐʰː	retroflex:affricate:+voice +spread glottis	\t{ɖ͡\textrtailz} extsuperscript{h}\textlengthmark
	c͡çʰː	palatal:affricate:−voice +spread glottis	\t{c\c{c}} extsuperscript{h}\textlengthmark
	ɟ͡ʝʰː	palatal:affricate:+voice +spread glottis	\t{ɟ͡\textctj} extsuperscript{h}\textlengthmark
	k̟ʰː	velar:plosive:−voice +spread glottis	\begin{IPA}\|+k̟\end{IPA} extsuperscript{h}\textlengthmark
	k̠ʰː	velar:plosive:−voice +spread glottis	\textsubbar{k} extsuperscript{h}\textlengthmark
	ɡ̟͡ɣ̟ʰː	velar:affricate:+voice +spread glottis	\begin{IPA} \t{\|+g \|+G} \end{IPA} extsuperscript{h}\textlengthmark
	ɡ͡ɣʰː	velar:affricate:+voice +spread glottis	\t{ɡ͡\textipa{G}} extsuperscript{h}\textlengthmark
	ɡ̠͡ɣ̠ʰː	velar:affricate:+voice +spread glottis	\t{\textsubbar{ɡ} \textsubbar{\textipa{G}}} extsuperscript{h}\textlengthmark
	k̟͡x̟ʰː	velar:affricate:−voice +spread glottis	\t{\begin{IPA}\|+k̟\|+x̟\end{IPA}} extsuperscript{h}\textlengthmark
	k͡xʰː	velar:affricate:−voice +spread glottis	\t{kx} extsuperscript{h}\textlengthmark
	k̠͡x̠ʰː	velar:affricate:−voice +spread glottis	\t{\textsubbar{k}\textsubbar{x}} extsuperscript{h}\textlengthmark
	ŋ̟ʰː	velar:nasal:+voice +nasal +spread glottis	\begin{IPA}\|+N̟\end{IPA} extsuperscript{h}\textlengthmark
	ŋ̠ʰː	velar:nasal:+voice +nasal +spread glottis	\textipa{\=*N} extsuperscript{h}\textlengthmark
	ɢ͡ʁʰː	uvular:affricate:+voice +spread glottis	\t{\textscg \textipa{K}} extsuperscript{h}\textlengthmark
	q͡χʰː	uvular:affricate:−voice +spread glottis	\t{q͡\textchi} extsuperscript{h}\textlengthmark
	p͡ɸʷː	labial:affricate:−voice	\t{p͡\textipa{F}}\super w\textlengthmark
	b͡βʷː	labial:affricate:+voice	\t{b͡\textipa{B}}\super w\textlengthmark
	p͡fʷː	labiodental, labial:affricate:−voice	\t{pf}\super w\textlengthmark
	b͡vʷː	labiodental, labial:affricate:+voice	\t{b͡v}\super w\textlengthmark
	t̪ʷː	dental, labial:plosive:−voice	\textsubbridge{t}\super w\textlengthmark
	d̪ʷː	dental, labial:plosive:+voice	\textsubbridge{d}\super w\textlengthmark
	d̠ʷː	dental, labial:plosive:+voice	\textsubbar{d}\super w\textlengthmark
	t̪͡θʷː	dental, labial:affricate:−voice	\t{\textsubbridge{t}͡ \textipa{T}}\super w\textlengthmark
	t̪͡s̪ʷː	dental, labial:affricate:−voice	\t{\textsubbridge{t}\textsubbridge{s}}\super w\textlengthmark
	d̪͡z̪ʷː	dental, labial:affricate:+voice	\t{\textsubbridge{d}\textsubbridge{z}}\super w\textlengthmark
	d̪͡ɮ̪ʷː	dental, labial:affricate:+voice +lateral	\t{\textsubbridge{d}͡\textsubbridge{\textlyoghlig}}\super w\textlengthmark
	d̠͡ɮ̠ʷː	dental, labial:affricate:+voice +lateral	\t{\textsubbar{d}͡\textsubbar{\textlyoghlig}}\super w\textlengthmark
	t̪͡ɬ̪ʷː	dental, labial:affricate:+voice +lateral	\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\super w\textlengthmark
	d͡zʷː	dental, labial:affricate:+voice	\t{dz}\super w\textlengthmark
	d͡z͎ʷː	dental, labial:affricate:+voice	\t{d͡\begin{IPA}\whistle{z}\end{IPA}}\super w\textlengthmark
	ɬ̪ʷː	dental, labial:fricative:+voice +lateral	\textsubbridge{\textbeltl}\super w\textlengthmark
	ɮ̪ʷː	dental, labial:fricative:+voice +lateral	\textsubbridge{\textlyoghlig}\super w\textlengthmark
	d̪͡ðʷː	dental, labial:affricate:+voice	\t{\textsubbridge{d}͡ð}\super w\textlengthmark
	n̪ʷː	dental, labial:nasal:+voice +nasal	\textsubbridge{n}\super w\textlengthmark
	t̠ʷː	alveolar, labial:plosive:−voice	\textsubbar{t}\super w\textlengthmark
	s͎ʷː	alveolar, labial:fricative:−voice	\begin{IPA}\whistle{s}\end{IPA}\super w\textlengthmark
	z͎ʷː	alveolar, labial:fricative:+voice	\begin{IPA}\whistle{z}\end{IPA}\super w\textlengthmark
	t͡sʷː	alveolar, labial:affricate:−voice	\t{ts}\super w\textlengthmark
	t͡s͎ʷː	alveolar, labial:affricate:−voice	\t{t͡\begin{IPA}\whistle{s}\end{IPA}}\super w\textlengthmark
	d͡ɮʷː	alveolar, labial:affricate:+voice +lateral	\t{d͡\textlyoghlig}\super w\textlengthmark
	t͡ɬʷː	alveolar, labial:affricate:+voice +lateral	\t{t͡\textbeltl}\super w\textlengthmark
	t͡ɬ̲ʷː	alveolar, labial:affricate:+voice +lateral	\t{t͡\textsubbar{\textbeltl}}\super w\textlengthmark
	ɬ̠ʷː	alveolar, labial:fricative:+voice +lateral	\textsubbar{\textbeltl}\super w\textlengthmark
	ɮ̠ʷː	alveolar, labial:fricative:+voice +lateral	\textsubbar{\textlyoghlig}\super w\textlengthmark
	n̠ʷː	alveolar, labial:nasal:+voice +nasal	\textipa{\=*n}\super w\textlengthmark
	t͡ʃʷː	palatoalveolar, labial:affricate:−voice	\t{t͡\textipa{S}}\super w\textlengthmark
	d͡ʒʷː	palatoalveolar, labial:affricate:+voice	\t{d͡\textyogh}\super w\textlengthmark
	ʈ͡ʂʷː	retroflex, labial:affricate:−voice	\t{\textrtailt \textrtails}\super w\textlengthmark
	ɖ͡ʐʷː	retroflex, labial:affricate:+voice	\t{ɖ͡\textrtailz}\super w\textlengthmark
	c͡çʷː	palatal, labial:affricate:−voice	\t{c\c{c}}\super w\textlengthmark
	ɟ͡ʝʷː	palatal, labial:affricate:+voice	\t{ɟ͡\textctj}\super w\textlengthmark
	k̟ʷː	velar, labial:plosive:−voice	\begin{IPA}\|+k̟\end{IPA}\super w\textlengthmark
	k̠ʷː	velar, labial:plosive:−voice	\textsubbar{k}\super w\textlengthmark
	x̟ʷː	velar, labial:fricative:−voice	\begin{IPA}\|+x̟\end{IPA}\super w\textlengthmark
	x̠ʷː	velar, labial:fricative:−voice	\textsubbar{x}\super w\textlengthmark
	ɣ̟ʷː	velar, labial:fricative:+voice	\begin{IPA}\|+G̟\end{IPA}\super w\textlengthmark
	ɣ̠ʷː	velar, labial:fricative:+voice	\textsubbar{\textipa{G}}\super w\textlengthmark
	ɡ̟͡ɣ̟ʷː	velar, labial:affricate:+voice	\begin{IPA} \t{\|+g \|+G} \end{IPA} \super w\textlengthmark
	ɡ͡ɣʷː	velar, labial:affricate:+voice	\t{ɡ͡\textipa{G}}\super w\textlengthmark
	ɡ̠͡ɣ̠ʷː	velar, labial:affricate:+voice	\t{\textsubbar{ɡ} \textsubbar{\textipa{G}}}\super w\textlengthmark
	k̟͡x̟ʷː	velar, labial:affricate:−voice	\t{\begin{IPA}\|+k̟\|+x̟\end{IPA}}\super w\textlengthmark
	k͡xʷː	velar, labial:affricate:−voice	\t{kx}\super w\textlengthmark
	k̠͡x̠ʷː	velar, labial:affricate:−voice	\t{\textsubbar{k}\textsubbar{x}}\super w\textlengthmark
	ŋ̟ʷː	velar, labial:nasal:+voice +nasal	\begin{IPA}\|+N̟\end{IPA}\super w\textlengthmark
	ŋ̠ʷː	velar, labial:nasal:+voice +nasal	\textipa{\=*N}\super w\textlengthmark
	ɢ͡ʁʷː	uvular, labial:affricate:+voice	\t{\textscg \textipa{K}}\super w\textlengthmark
	q͡χʷː	uvular, labial:affricate:−voice	\t{q͡\textchi}\super w\textlengthmark
	p͡ɸʲː	labial, palatal:affricate:−voice	\t{p͡\textipa{F}}\super j\textlengthmark
	b͡βʲː	labial, palatal:affricate:+voice	\t{b͡\textipa{B}}\super j\textlengthmark
	p͡fʲː	labiodental, palatal:affricate:−voice	\t{pf}\super j\textlengthmark
	b͡vʲː	labiodental, palatal:affricate:+voice	\t{b͡v}\super j\textlengthmark
	t̪ʲː	dental, palatal:plosive:−voice	\textsubbridge{t}\super j\textlengthmark
	d̪ʲː	dental, palatal:plosive:+voice	\textsubbridge{d}\super j\textlengthmark
	d̠ʲː	dental, palatal:plosive:+voice	\textsubbar{d}\super j\textlengthmark
	t̪͡θʲː	dental, palatal:affricate:−voice	\t{\textsubbridge{t}͡ \textipa{T}}\super j\textlengthmark
	t̪͡s̪ʲː	dental, palatal:affricate:−voice	\t{\textsubbridge{t}\textsubbridge{s}}\super j\textlengthmark
	d̪͡z̪ʲː	dental, palatal:affricate:+voice	\t{\textsubbridge{d}\textsubbridge{z}}\super j\textlengthmark
	d̪͡ɮ̪ʲː	dental, palatal:affricate:+voice +lateral	\t{\textsubbridge{d}͡\textsubbridge{\textlyoghlig}}\super j\textlengthmark
	d̠͡ɮ̠ʲː	dental, palatal:affricate:+voice +lateral	\t{\textsubbar{d}͡\textsubbar{\textlyoghlig}}\super j\textlengthmark
	t̪͡ɬ̪ʲː	dental, palatal:affricate:+voice +lateral	\t{\textsubbridge{t}͡\textsubbridge{\textbeltl}}\super j\textlengthmark
	d͡zʲː	dental, palatal:affricate:+voice	\t{dz}\super j\textlengthmark
	d͡z͎ʲː	dental, palatal:affricate:+voice	\t{d͡\begin{IPA}\whistle{z}\end{IPA}}\super j\textlengthmark
	ɬ̪ʲː	dental, palatal:fricative:+voice +lateral	\textsubbridge{\textbeltl}\super j\textlengthmark
	ɮ̪ʲː	dental, palatal:fricative:+voice +lateral	\textsubbridge{\textlyoghlig}\super j\textlengthmark
	d̪͡ðʲː	dental, palatal:affricate:+voice	\t{\textsubbridge{d}͡ð}\super j\textlengthmark
	n̪ʲː	dental, palatal:nasal:+voice +nasal	\textsubbridge{n}\super j\textlengthmark
	t̠ʲː	alveolar, palatal:plosive:−voice	\textsubbar{t}\super j\textlengthmark
	s͎ʲː	alveolar, palatal:fricative:−voice	\begin{IPA}\whistle{s}\end{IPA}\super j\textlengthmark
	z͎ʲː	alveolar, palatal:fricative:+voice	\begin{IPA}\whistle{z}\end{IPA}\super j\textlengthmark
	t͡sʲː	alveolar, palatal:affricate:−voice	\t{ts}\super j\textlengthmark
	t͡s͎ʲː	alveolar, palatal:affricate:−voice	\t{t͡\begin{IPA}\whistle{s}\end{IPA}}\super j\textlengthmark
	d͡ɮʲː	alveolar, palatal:affricate:+voice +lateral	\t{d͡\textlyoghlig}\super j\textlengthmark
	t͡ɬʲː	alveolar, palatal:affricate:+voice +lateral	\t{t͡\textbeltl}\super j\textlengthmark
	t͡ɬ̲ʲː	alveolar, palatal:affricate:+voice +lateral	\t{t͡\textsubbar{\textbeltl}}\super j\textlengthmark
	ɬ̠ʲː	alveolar, palatal:fricative:+voice +lateral	\textsubbar{\textbeltl}\super j\textlengthmark
	ɮ̠ʲː	alveolar, palatal:fricative:+voice +lateral	\textsubbar{\textlyoghlig}\super j\textlengthmark
	n̠ʲː	alveolar, palatal:nasal:+voice +nasal	\textipa{\=*n}\super j\textlengthmark
	t͡ʃʲː	palatoalveolar, palatal:affricate:−voice	\t{t͡\textipa{S}}\super j\textlengthmark
	d͡ʒʲː	palatoalveolar, palatal:affricate:+voice	\t{d͡\textyogh}\super j\textlengthmark
	ʈ͡ʂʲː	retroflex, palatal:affricate:−voice	\t{\textrtailt \textrtails}\super j\textlengthmark
	ɖ͡ʐʲː	retroflex, palatal:affricate:+voice	\t{ɖ͡\textrtailz}\super j\textlengthmark
	c͡çʲː	palatal:affricate:−voice	\t{c\c{c}}\super j\textlengthmark
	ɟ͡ʝʲː	palatal:affricate:+voice	\t{ɟ͡\textctj}\super j\textlengthmark
	k̟ʲː	velar, palatal:plosive:−voice	\begin{IPA}\|+k̟\end{IPA}\super j\textlengthmark
	k̠ʲː	velar, palatal:plosive:−voice	\textsubbar{k}\super j\textlengthmark
