BIPA	GRAPHEME	FEATURES	SYMBOLS
bdʲʱ	b͡d̤ʲ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo -back -round -velaric -long	◌b ◌d ◌ʲ ◌ʱ
bdʲʷ	b͡dʲʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʲ ◌ʷ
bdʲʷʰ	b͡dʲʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʲ ◌ʷ ◌ʰ
bdʲː	b͡dʲː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo -back -round -velaric +long	◌b ◌d ◌ʲ ◌ː
bdʲː	b͡dːʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo -back -round -velaric +long	◌b ◌d ◌ʲ ◌ː
bdʷ	b͡dʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ
bdʷʰ	b͡dʰʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ʰ
bdʷʰ	b͡dʷʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ʰ
bdʷʰː	b͡dʷʰː	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric +long	◌b ◌d ◌ʷ ◌ʰ ◌ː
bdʷʱ	b͡d̤ʷ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ʱ
bdʷˀ	b͡dʷˀ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ˀ
bdʷː	b͡dʷː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric +long	◌b ◌d ◌ʷ ◌ː
bdʷː	b͡dːʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric +long	◌b ◌d ◌ʷ ◌ː
bdʷˠ	b͡dʷˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ˠ
bdʷˠʰ	b͡dʷˠʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ˠ ◌ʰ
bdʷˤ	b͡dʷˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi +lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ˤ
bdʷˤʰ	b͡dʷˤʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi +lo +back +round -velaric -long	◌b ◌d ◌ʷ ◌ˤ ◌ʰ
bdˀ	b͡dˀ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌ˀ
bdː	b͡dː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric +long	◌b ◌d ◌ː
bdˠ	b͡dˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back -round -velaric -long	◌b ◌d ◌ˠ
bdˠʰ	b͡dʰˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back -round -velaric -long	◌b ◌d ◌ˠ ◌ʰ
bdˠʱ	b͡d̤ˠ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab +hi -lo +back -round -velaric -long	◌b ◌d ◌ˠ ◌ʱ
bdˠː	b͡dːˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab +hi -lo +back -round -velaric +long	◌b ◌d ◌ˠ ◌ː
bdˡ	b͡dˡ	-syl -son +cons -cont +delrel +lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌ˡ
bdˤ	b͡dˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric -long	◌b ◌d ◌ˤ
bdˤʰ	b͡dʰˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric -long	◌b ◌d ◌ˤ ◌ʰ
bdˤʰ	b͡dˤʰ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric -long	◌b ◌d ◌ˤ ◌ʰ
bdˤʱ	b͡d̤ˤ	-syl -son +cons -cont -delrel -lat -nas +voi +sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric -long	◌b ◌d ◌ˤ ◌ʱ
bdˤː	b͡dːˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric +long	◌b ◌d ◌ˤ ◌ː
bdˤː	b͡dˤː	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric +long	◌b ◌d ◌ˤ ◌ː
bd̃	b͡d̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̃
bd̃ː	b͡d̃ː	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric +long	◌b ◌d ◌̃ ◌ː
bd̃ˤ	b͡d̃ˤ	-syl -son +cons -cont -delrel -lat +nas +voi -sg -cg +ant +cor -distr +lab -hi +lo +back -round -velaric -long	◌b ◌d ◌̃ ◌ˤ
bd̟	b͡d̟	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̟
bd̠	b͡d̠	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̠
bd̰	b͡d̰	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̰
bd̰ʲ	b͡d̰ʲ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab +hi -lo -back -round -velaric -long	◌b ◌d ◌̰ ◌ʲ
bd̰ʷ	b͡d̰ʷ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab +hi -lo +back +round -velaric -long	◌b ◌d ◌̰ ◌ʷ
bd̰ː	b͡d̰ː	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab -hi -lo -back -round -velaric +long	◌b ◌d ◌̰ ◌ː
bd̰ˠ	b͡d̰ˠ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab +hi -lo +back -round -velaric -long	◌b ◌d ◌̰ ◌ˠ
bd̰ˤ	b͡d̰ˤ	-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab -hi +lo +back -round -velaric -long	◌b ◌d ◌̰ ◌ˤ
bd̰̃	b͡d̰̃	-syl -son +cons -cont -delrel -lat +nas +voi -sg +cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̰ ◌̃
bd̺	b͡d̺	-syl -son +cons -cont -delrel -lat -nas +voi -sg -cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long	◌b ◌d ◌̺
