BIPA	GRAPHEME	FEATURES	SYMBOLS
ʍ̞	ʍ̞	-syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -ant -cor +lab +hi -lo +back +round -velaric -long	◌ʍ ◌̞
ʍ̟	ʍ̟	-syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -ant -cor +lab +hi -lo +back +round -velaric -long	◌ʍ ◌̟
ʍ̠	ʍ̠	-syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -ant -cor +lab +hi -lo +back +round -velaric -long	◌ʍ ◌̠
ʍ̩	ʍ̩	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -ant -cor +lab +hi -lo +back +round -velaric -long	◌ʍ ◌̩
ʎ	ʎ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ
ʎʱ	ʎ̤	-syl +son +cons +cont +lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌ʱ
ʎʱː	ʎ̤ː	-syl +son +cons +cont +lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌ʱ ◌ː
ʎʲ	ʎʲ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌ʲ
ʎʲʱ	ʎ̤ʲ	-syl +son +cons +cont +lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌ʲ ◌ʱ
ʎʲʷ	ʎʲʷ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌ʲ ◌ʷ
ʎʲː	ʎʲː	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌ʲ ◌ː
ʎʲː	ʎːʲ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌ʲ ◌ː
ʎʷ	ʎʷ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌ʷ
ʎʷʱ	ʎ̤ʷ	-syl +son +cons +cont +lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌ʷ ◌ʱ
ʎʷˀ	ʎʷˀ	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌ʷ ◌ˀ
ʎʷː	ʎʷː	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric +long	◌ʎ ◌ʷ ◌ː
ʎʷː	ʎːʷ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric +long	◌ʎ ◌ʷ ◌ː
ʎʷˠ	ʎʷˠ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌ʷ ◌ˠ
ʎʷˤ	ʎʷˤ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back +round -velaric -long	◌ʎ ◌ʷ ◌ˤ
ʎˀ	ʎˀ	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌ˀ
ʎː	ʎː	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌ː
ʎˠ	ʎˠ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric -long	◌ʎ ◌ˠ
ʎˠʱ	ʎ̤ˠ	-syl +son +cons +cont +lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric -long	◌ʎ ◌ˠ ◌ʱ
ʎˠː	ʎːˠ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric +long	◌ʎ ◌ˠ ◌ː
ʎˤ	ʎˤ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʎ ◌ˤ
ʎˤʱ	ʎ̤ˤ	-syl +son +cons +cont +lat -nas +voi +sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʎ ◌ˤ ◌ʱ
ʎˤː	ʎːˤ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric +long	◌ʎ ◌ˤ ◌ː
ʎˤː	ʎˤː	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric +long	◌ʎ ◌ˤ ◌ː
ʎ̃	ʎ̃	-syl +son +cons +cont +lat +nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̃
ʎ̃ː	ʎ̃ː	-syl +son +cons +cont +lat +nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌̃ ◌ː
ʎ̃ˤ	ʎ̃ˤ	-syl +son +cons +cont +lat +nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʎ ◌̃ ◌ˤ
ʎ̝	ʎ̝	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̝
ʎ̞	ʎ̞	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̞
ʎ̠	ʎ̠	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̠
ʎ̥	ʎ̥	-syl +son +cons +cont +lat -nas -voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̥
ʎ̥ʱ	ʎ̤̥	-syl +son +cons +cont +lat -nas -voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̥ ◌ʱ
ʎ̥ʲ	ʎ̥ʲ	-syl +son +cons +cont +lat -nas -voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̥ ◌ʲ
ʎ̥ʷ	ʎ̥ʷ	-syl +son +cons +cont +lat -nas -voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌̥ ◌ʷ
ʎ̥ː	ʎ̥ː	-syl +son +cons +cont +lat -nas -voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌̥ ◌ː
ʎ̥ˠ	ʎ̥ˠ	-syl +son +cons +cont +lat -nas -voi -sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric -long	◌ʎ ◌̥ ◌ˠ
ʎ̥ˤ	ʎ̥ˤ	-syl +son +cons +cont +lat -nas -voi -sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʎ ◌̥ ◌ˤ
ʎ̩	ʎ̩	+syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̩
ʎ̰	ʎ̰	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̰
ʎ̰ʲ	ʎ̰ʲ	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̰ ◌ʲ
ʎ̰ʷ	ʎ̰ʷ	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʎ ◌̰ ◌ʷ
ʎ̰ː	ʎ̰ː	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʎ ◌̰ ◌ː
ʎ̰ˠ	ʎ̰ˠ	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo +back -round -velaric -long	◌ʎ ◌̰ ◌ˠ
ʎ̰ˤ	ʎ̰ˤ	-syl +son +cons +cont +lat -nas +voi -sg +cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʎ ◌̰ ◌ˤ
ʎ̰̃	ʎ̰̃	-syl +son +cons +cont +lat +nas +voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̰ ◌̃
ʎ̺	ʎ̺	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̺
ʎ̻	ʎ̻	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʎ ◌̻
ʎᶣ	ʎᶣ	-syl +son +cons +cont +lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back +round -velaric -long	◌ʎ ◌ᶣ
ʏ	ʏ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ
ʏˀ	ʏˀ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌ˀ
ʏː	ʏː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense +long	◌ʏ ◌ː
ʏ˞	ʏ˞	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌˞
ʏˠ	ʏˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo +back +round -velaric -tense -long	◌ʏ ◌ˠ
ʏˠː	ʏːˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo +back +round -velaric -tense +long	◌ʏ ◌ˠ ◌ː
ʏˤ	ʏˤ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back +round -velaric -tense -long	◌ʏ ◌ˤ
ʏˤː	ʏːˤ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back +round -velaric -tense +long	◌ʏ ◌ˤ ◌ː
ʏˤː	ʏˤː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi +lo +back +round -velaric -tense +long	◌ʏ ◌ˤ ◌ː
ʏ̃	ʏ̃	+syl +son -cons +cont -delrel -lat +nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̃
ʏ̃ː	ʏ̃ː	+syl +son -cons +cont -delrel -lat +nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense +long	◌ʏ ◌̃ ◌ː
ʏ̃ˤ	ʏ̃ˤ	+syl +son -cons +cont -delrel -lat +nas +voi -sg -cg -cor -lab +hi +lo +back +round -velaric -tense -long	◌ʏ ◌̃ ◌ˤ
ʏ̆	ʏ̆	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̆
ʏ̈	ʏ̈	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̈
ʏ̘	ʏ̘	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric +tense -long	◌ʏ ◌̘
ʏ̘ː	ʏ̘ː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric +tense +long	◌ʏ ◌̘ ◌ː
ʏ̘ˠ	ʏ̘ˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo +back +round -velaric +tense -long	◌ʏ ◌̘ ◌ˠ
ʏ̙	ʏ̙	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̙
ʏ̙ː	ʏ̙ː	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense +long	◌ʏ ◌̙ ◌ː
ʏ̙ˠ	ʏ̙ˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo +back +round -velaric -tense -long	◌ʏ ◌̙ ◌ˠ
ʏ̝	ʏ̝	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̝
ʏ̞	ʏ̞	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̞
ʏ̟	ʏ̟	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̟
ʏ̠	ʏ̠	+syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̠
ʏ̤	ʏ̤	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̤
ʏ̤ː	ʏ̤ː	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab +hi -lo -back +round -velaric -tense +long	◌ʏ ◌̤ ◌ː
ʏ̤ˠ	ʏ̤ˠ	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab +hi -lo +back +round -velaric -tense -long	◌ʏ ◌̤ ◌ˠ
ʏ̤ˤ	ʏ̤ˤ	+syl +son -cons +cont -delrel -lat -nas +voi +sg -cg -cor -lab +hi +lo +back +round -velaric -tense -long	◌ʏ ◌̤ ◌ˤ
ʏ̥	ʏ̥	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̥
ʏ̥ː	ʏ̥ː	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense +long	◌ʏ ◌̥ ◌ː
ʏ̥ˠ	ʏ̥ˠ	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab +hi -lo +back +round -velaric -tense -long	◌ʏ ◌̥ ◌ˠ
ʏ̥ˤ	ʏ̥ˤ	+syl +son -cons +cont -delrel -lat -nas -voi -sg -cg -cor -lab +hi +lo +back +round -velaric -tense -long	◌ʏ ◌̥ ◌ˤ
ʏ̥̤	ʏ̤̥	+syl +son -cons +cont -delrel -lat -nas -voi +sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̥ ◌̤
ʏ̯	ʏ̯	-syl +son -cons +cont -delrel -lat -nas +voi -sg -cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̯
ʏ̰	ʏ̰	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̰
ʏ̰ː	ʏ̰ː	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo -back +round -velaric -tense +long	◌ʏ ◌̰ ◌ː
ʏ̰ˠ	ʏ̰ˠ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi -lo +back +round -velaric -tense -long	◌ʏ ◌̰ ◌ˠ
ʏ̰ˤ	ʏ̰ˤ	+syl +son -cons +cont -delrel -lat -nas +voi -sg +cg -cor -lab +hi +lo +back +round -velaric -tense -long	◌ʏ ◌̰ ◌ˤ
ʏ̰̃	ʏ̰̃	+syl +son -cons +cont -delrel -lat +nas +voi -sg +cg -cor -lab +hi -lo -back +round -velaric -tense -long	◌ʏ ◌̰ ◌̃
ʐ	ʐ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ
ʐʱ	ʐ̤	-syl -son +cons +cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌ʱ
ʐʱː	ʐ̤ː	-syl -son +cons +cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ʐ ◌ʱ ◌ː
ʐʲ	ʐʲ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ʐ ◌ʲ
ʐʲʱ	ʐ̤ʲ	-syl -son +cons +cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ʐ ◌ʲ ◌ʱ
ʐʲʷ	ʐʲʷ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ʐ ◌ʲ ◌ʷ
ʐʲː	ʐʲː	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric +long	◌ʐ ◌ʲ ◌ː
ʐʲː	ʐːʲ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back -round -velaric +long	◌ʐ ◌ʲ ◌ː
ʐʷ	ʐʷ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ʐ ◌ʷ
ʐʷʱ	ʐ̤ʷ	-syl -son +cons +cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ʐ ◌ʷ ◌ʱ
ʐʷˀ	ʐʷˀ	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ʐ ◌ʷ ◌ˀ
ʐʷː	ʐʷː	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ʐ ◌ʷ ◌ː
ʐʷː	ʐːʷ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric +long	◌ʐ ◌ʷ ◌ː
ʐʷˠ	ʐʷˠ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ʐ ◌ʷ ◌ˠ
ʐʷˤ	ʐʷˤ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi +lo +back +round -velaric -long	◌ʐ ◌ʷ ◌ˤ
ʐˀ	ʐˀ	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌ˀ
ʐː	ʐː	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ʐ ◌ː
ʐˠ	ʐˠ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ʐ ◌ˠ
ʐˠʱ	ʐ̤ˠ	-syl -son +cons +cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ʐ ◌ˠ ◌ʱ
ʐˠː	ʐːˠ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo +back -round -velaric +long	◌ʐ ◌ˠ ◌ː
ʐˤ	ʐˤ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ʐ ◌ˤ
ʐˤʱ	ʐ̤ˤ	-syl -son +cons +cont -delrel -lat -nas +voi +sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ʐ ◌ˤ ◌ʱ
ʐˤː	ʐːˤ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric +long	◌ʐ ◌ˤ ◌ː
ʐˤː	ʐˤː	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric +long	◌ʐ ◌ˤ ◌ː
ʐ̃	ʐ̃	-syl -son +cons +cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̃
ʐ̃ː	ʐ̃ː	-syl -son +cons +cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ʐ ◌̃ ◌ː
ʐ̃ˤ	ʐ̃ˤ	-syl -son +cons +cont -delrel -lat +nas +voi -sg -cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ʐ ◌̃ ◌ˤ
ʐ̝	ʐ̝	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̝
ʐ̞	ʐ̞	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̞
ʐ̟	ʐ̟	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̟
ʐ̠	ʐ̠	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̠
ʐ̩	ʐ̩	+syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̩
ʐ̰	ʐ̰	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̰
ʐ̰ʲ	ʐ̰ʲ	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo -back -round -velaric -long	◌ʐ ◌̰ ◌ʲ
ʐ̰ʷ	ʐ̰ʷ	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo +back +round -velaric -long	◌ʐ ◌̰ ◌ʷ
ʐ̰ː	ʐ̰ː	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric +long	◌ʐ ◌̰ ◌ː
ʐ̰ˠ	ʐ̰ˠ	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab +hi -lo +back -round -velaric -long	◌ʐ ◌̰ ◌ˠ
ʐ̰ˤ	ʐ̰ˤ	-syl -son +cons +cont -delrel -lat -nas +voi -sg +cg -ant +cor -distr -lab -hi +lo +back -round -velaric -long	◌ʐ ◌̰ ◌ˤ
ʐ̰̃	ʐ̰̃	-syl -son +cons +cont -delrel -lat +nas +voi -sg +cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̰ ◌̃
ʐ̺	ʐ̺	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̺
ʐ̻	ʐ̻	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab -hi -lo -back -round -velaric -long	◌ʐ ◌̻
ʐᶣ	ʐᶣ	-syl -son +cons +cont -delrel -lat -nas +voi -sg -cg -ant +cor -distr -lab +hi -lo -back +round -velaric -long	◌ʐ ◌ᶣ
ʑ	ʑ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʑ
ʑʱ	ʑ̤	-syl -son +cons +cont +delrel -lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʑ ◌ʱ
ʑʱː	ʑ̤ː	-syl -son +cons +cont +delrel -lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʑ ◌ʱ ◌ː
ʑʲ	ʑʲ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʑ ◌ʲ
ʑʲʱ	ʑ̤ʲ	-syl -son +cons +cont +delrel -lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʑ ◌ʲ ◌ʱ
ʑʲʷ	ʑʲʷ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʑ ◌ʲ ◌ʷ
ʑʲː	ʑʲː	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʑ ◌ʲ ◌ː
ʑʲː	ʑːʲ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʑ ◌ʲ ◌ː
ʑʷ	ʑʷ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʑ ◌ʷ
ʑʷʱ	ʑ̤ʷ	-syl -son +cons +cont +delrel -lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʑ ◌ʷ ◌ʱ
ʑʷˀ	ʑʷˀ	-syl -son +cons +cont +delrel -lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʑ ◌ʷ ◌ˀ
ʑʷː	ʑʷː	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric +long	◌ʑ ◌ʷ ◌ː
ʑʷː	ʑːʷ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric +long	◌ʑ ◌ʷ ◌ː
ʑʷˠ	ʑʷˠ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back +round -velaric -long	◌ʑ ◌ʷ ◌ˠ
ʑʷˤ	ʑʷˤ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back +round -velaric -long	◌ʑ ◌ʷ ◌ˤ
ʑˀ	ʑˀ	-syl -son +cons +cont +delrel -lat -nas +voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long	◌ʑ ◌ˀ
ʑː	ʑː	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo -back -round -velaric +long	◌ʑ ◌ː
ʑˠ	ʑˠ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric -long	◌ʑ ◌ˠ
ʑˠʱ	ʑ̤ˠ	-syl -son +cons +cont +delrel -lat -nas +voi +sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric -long	◌ʑ ◌ˠ ◌ʱ
ʑˠː	ʑːˠ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi -lo +back -round -velaric +long	◌ʑ ◌ˠ ◌ː
ʑˤ	ʑˤ	-syl -son +cons +cont +delrel -lat -nas +voi -sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʑ ◌ˤ
ʑˤʱ	ʑ̤ˤ	-syl -son +cons +cont +delrel -lat -nas +voi +sg -cg -ant +cor +distr -lab +hi +lo +back -round -velaric -long	◌ʑ ◌ˤ ◌ʱ
