BIPA	GRAPHEME	COLUMN	COUNT	NOTE	SYMBOLS
ⁿǀʰ	n/ʰ	252	2		◌ⁿ ◌ǀ ◌ʰ
ⁿǀʱ	n/ʱ	200	2		◌ⁿ ◌ǀ ◌ʱ
ⁿǀˀʰ	n/ˀʰ	195	1		◌ⁿ ◌ǀ ◌ˀ ◌ʰ
nm	nm	533	0		◌n ◌m
ⁿǁ	nǁ	161	29		◌ⁿ ◌ǁ
ⁿǁⁿ	nǁn	253	2		◌ⁿ ◌ǁ ◌ⁿ
ⁿǁʰ	nǁʰ	244	1		◌ⁿ ◌ǁ ◌ʰ
ⁿǁʱ	nǁʱ	236	2		◌ⁿ ◌ǁ ◌ʱ
ⁿǁˀʰ	nǁˀʰ	217	1		◌ⁿ ◌ǁ ◌ˀ ◌ʰ
ⁿǂ	nǂ	280	17		◌ⁿ ◌ǂ
ⁿǂⁿ	nǂn	238	2		◌ⁿ ◌ǂ ◌ⁿ
ⁿǂʱ	nǂʱ	188	2		◌ⁿ ◌ǂ ◌ʱ
ⁿǂˀʰ	nǂˀʰ	162	1		◌ⁿ ◌ǂ ◌ˀ ◌ʰ
ⁿʘ	nʘ	176	4		◌ⁿ ◌ʘ
ⁿʘʱ	nʘʱ	246	1		◌ⁿ ◌ʘ ◌ʱ
nʱ	nʱ	520	1		◌n ◌ʱ
nʲ	nʲ	539	4		◌n ◌ʲ
nʷ	nʷ	557	0		◌n ◌ʷ
nˀ	nˀ	531	7		◌n ◌ˀ
n̩	ṇ	528	142		◌n ◌̩
n̩ʱ	ṇ̤	546	1		◌n ◌̩ ◌ʱ
n̩̥	ṇ̥	519	2		◌n ◌̩ ◌̥
nʱ	n̤	542	10		◌n ◌ʱ
n̥	n̥	516	63		◌n ◌̥
n̪	n̪	556	27		◌n ◌̪
n̪̥	n̪̥	514	0		◌n ◌̪ ◌̥
o	o	130	1532		◌o
o̤	o̤	133	2		◌o ◌̤
o̰	o̰	142	1		◌o ◌̰
p	p	657	1843		◌p
p	p	634	2		◌p
pt	pt	701	1		◌p ◌t
ptˢ	ptˢ	71	0		◌p ◌t ◌ˢ
pʰ	pʰ	597	283		◌p ◌ʰ
pʰ	pʰ	665	3		◌p ◌ʰ
pʱ	pʱ	577	1		◌p ◌ʱ
pʷ	pʷ	654	5		◌p ◌ʷ
pˀ	pˀ	667	154		◌p ◌ˀ
pˀ	pˀ	41	1		◌p ◌ˀ
pː	pː	573	1		◌p ◌ː
pˡ	pˡ	111	6		◌p ◌ˡ
pˡʰ	pˡʰ	50	5		◌p ◌ˡ ◌ʰ
pˢ	pˢ	124	2		◌p ◌ˢ
pf	pᶠ	120	20		◌p ◌f
pfʰ	pᶠʰ	75	1		◌p ◌f ◌ʰ
pfˀ	pᶠˀ	121	2		◌p ◌f ◌ˀ
pfˀ	pᶠˀ	106	1		◌p ◌f ◌ˀ
pɸ	pᶲ	58	2		◌p ◌ɸ
q	q	658	236		◌q
gǃ	q!	248	7		◌g ◌ǃ
gǃʰ	q!ʰ	172	1		◌g ◌ǃ ◌ʰ
gǃˀ	q!ˀ	264	1		◌g ◌ǃ ◌ˀ
gǀ	q/	259	10		◌g ◌ǀ
gǀʰ	q/ʰ	233	1		◌g ◌ǀ ◌ʰ
gǀˀ	q/ˀ	194	1		◌g ◌ǀ ◌ˀ
gǁ	qǁ	226	8		◌g ◌ǁ
gǁʰ	qǁʰ	285	1		◌g ◌ǁ ◌ʰ
gǁˀ	qǁˀ	182	1		◌g ◌ǁ ◌ˀ
gǂ	qǂ	219	8		◌g ◌ǂ
gǂʰ	qǂʰ	213	1		◌g ◌ǂ ◌ʰ
gǂˀ	qǂˀ	170	1		◌g ◌ǂ ◌ˀ
gʘ	qʘ	215	1		◌g ◌ʘ
gʘʰ	qʘʰ	158	1		◌g ◌ʘ ◌ʰ
gʘˀ	qʘˀ	277	1		◌g ◌ʘ ◌ˀ
qʰ	qʰ	587	28		◌q ◌ʰ
qʷʰ	qʰʷ	617	3		◌q ◌ʷ ◌ʰ
qʷ	qʷ	702	45		◌q ◌ʷ
qˀ	qˀ	690	101		◌q ◌ˀ
qʷˀ	qˀʷ	594	33		◌q ◌ʷ ◌ˀ
qχ	qᵡ	51	17		◌q ◌χ
qχʰ	qᵡʰ	45	2		◌q ◌χ ◌ʰ
qχʷ	qᵡʷ	56	1		◌q ◌χ ◌ʷ
qχˀ	qᵡˀ	46	16		◌q ◌χ ◌ˀ
qχʷˀ	qᵡˀʷ	57	1		◌q ◌χ ◌ʷ ◌ˀ
r	r	713	1077		◌r
rʲ	rʲ	732	4		◌r ◌ʲ
rˀ	rˀ	710	1		◌r ◌ˀ
ɽ	ṛ	707	57		◌ɽ
ṛʷ	ṛʷ	726	1		◌r ◌̣ ◌ʷ
ɽ̥	ṛ̥	735	2		◌ɽ ◌̥
rʱ	r̤	718	7		◌r ◌ʱ
r̥	r̥	731	27		◌r ◌̥
r̪	r̪	730	3		◌r ◌̪
s	s	343	1767		◌s
sʰ	sʰ	300	18		◌s ◌ʰ
sʲ	sʲ	326	3		◌s ◌ʲ
sʷ	sʷ	313	3		◌s ◌ʷ
sʼ	sʹ	348	1		◌s ◌ʼ
sˀ	sˀ	306	21		◌s ◌ˀ
sː	sː	376	2		◌s ◌ː
ʃ	š	321	778		◌ʃ
ʃʰ	šʰ	377	3		◌ʃ ◌ʰ
ʃʲ	šʲ	302	2		◌ʃ ◌ʲ
ʃʷ	šʷ	309	1		◌ʃ ◌ʷ
ʃˀ	šˀ	356	11		◌ʃ ◌ˀ
ʃˀː	šːˀ	301	3		◌ʃ ◌ˀ ◌ː
ʂ	ṣ̌	357	42	Distinction between ṣ̌ and ṣ not clear from source. @lingulist 	◌ʂ
ʂ	ṣ	363	61	Distinction between ṣ̌ and ṣ not clear from source. @lingulist	◌ʂ
ʂˀ	ṣˀ	339	3		◌ʂ ◌ˀ
s̪	s̪	319	7		◌s ◌̪
s̪ˀː	s̪ːˀ	328	3		◌s ◌̪ ◌ˀ ◌ː
t	t	661	2035		◌t
tp	tp	649	0		◌t ◌p
tʰ	tʰ	569	322		◌t ◌ʰ
tʱ	tʱ	684	1		◌t ◌ʱ
tʲ	tʲ	625	9		◌t ◌ʲ
tʳ	tʳ	83	7		◌t ◌ʳ
tˀ	tˀ	627	228		◌t ◌ˀ
tː	tː	593	3		◌t ◌ː
tˡː	tːˡ	11	3		◌t ◌ˡ ◌ː
tˡˀː	tːˡˀ	68	2		◌t ◌ˡ ◌ˀ ◌ː
tˡ	tˡ	90	63		◌t ◌ˡ
tˡʰ	tˡʰ	104	15		◌t ◌ˡ ◌ʰ
tˡˀ	tˡˀ	62	71		◌t ◌ˡ ◌ˀ
t̥ˡ	tˡ̥	10	1		◌t ◌̥ ◌ˡ
t̥ˡʰ	tˡ̥ʰ	49	1		◌t ◌̥ ◌ˡ ◌ʰ
ts	tˢ	98	558		◌t ◌s
tsʰ	tˢʰ	60	110		◌t ◌s ◌ʰ
tsʱ	tˢʱ	28	1		◌t ◌s ◌ʱ
tsˀ	tˢˀ	94	188		◌t ◌s ◌ˀ
