BIPA	URL	FEATURES	GRAPHEME	SYMBOLS
ɽ̥	https://en.wikipedia.org/wiki/Voiceless_retroflex_flap	Voiceless_retroflex_flap	ɽ̊	◌ɽ ◌̥
ɾ	https://en.wikipedia.org/wiki/Alveolar_flap	Alveolar_flap	ɾ	◌ɾ
ɾ̥	https://en.wikipedia.org/wiki/Voiceless_alveolar_flap	Voiceless_alveolar_flap	ɾ̥	◌ɾ ◌̥
ɾ̼	https://en.wikipedia.org/wiki/Linguolabial_tap	Linguolabial_tap	ɾ̼	◌ɾ ◌̼
ʀ	https://en.wikipedia.org/wiki/Uvular_trill	Uvular_trill	ʀ	◌ʀ
ʀ̥	https://en.wikipedia.org/wiki/Voiceless_uvular_trill	Voiceless_uvular_trill	ʀ̥	◌ʀ ◌̥
ʁ	https://en.wikipedia.org/wiki/Voiced_uvular_fricative	Voiced_uvular_fricative	ʁ	◌ʁ
ʂ	https://en.wikipedia.org/wiki/Voiceless_retroflex_fricative	Voiceless_retroflex_fricative	ʂ	◌ʂ
ʃ	https://en.wikipedia.org/wiki/Voiceless_postalveolar_fricative	Voiceless_postalveolar_fricative	ʃ	◌ʃ
ʈ	https://en.wikipedia.org/wiki/Voiceless_retroflex_stop	Voiceless_retroflex_stop	ʈ	◌ʈ
ʈʂ	https://en.wikipedia.org/wiki/Voiceless_retroflex_sibilant_affricate	Voiceless_retroflex_sibilant_affricate	ʈʂ	◌ʈ ◌ʂ
ʈʂ’	https://en.wikipedia.org/wiki/Retroflex_ejective_affricate	Retroflex_ejective_affricate	ʈʂʼ	◌ʈ ◌ʂ ◌’
ʉ	https://en.wikipedia.org/wiki/Close_central_rounded_vowel	Close_central_rounded_vowel	ʉ	◌ʉ
ʊ	https://en.wikipedia.org/wiki/Near-close_near-back_rounded_vowel	Near-close_near-back_rounded_vowel	ʊ	◌ʊ
ʊ̈	https://en.wikipedia.org/wiki/Near-close_central_rounded_vowel	Near-close_central_rounded_vowel	ʊ̈	◌ʊ ◌̈
ʋ	https://en.wikipedia.org/wiki/Labiodental_approximant	Labiodental_approximant	ʋ	◌ʋ
ʋ̥	https://en.wikipedia.org/wiki/Voiceless_labiodental_approximant	Voiceless_labiodental_approximant	ʋ̥	◌ʋ ◌̥
ʌ	https://en.wikipedia.org/wiki/Open-mid_back_unrounded_vowel	Open-mid_back_unrounded_vowel	ʌ	◌ʌ
ʎ	https://en.wikipedia.org/wiki/Palatal_lateral_approximant	Palatal_lateral_approximant	ʎ	◌ʎ
ʎ̝	https://en.wikipedia.org/wiki/Voiced_palatal_lateral_fricative	Voiced_palatal_lateral_fricative	ʎ̝	◌ʎ ◌̝
ʎ̥	https://en.wikipedia.org/wiki/Voiceless_palatal_lateral_approximant	Voiceless_palatal_lateral_approximant	ʎ̥	◌ʎ ◌̥
ʏ	https://en.wikipedia.org/wiki/Near-close_near-front_rounded_vowel	Near-close_near-front_rounded_vowel	ʏ	◌ʏ
ʐ	https://en.wikipedia.org/wiki/Voiced_retroflex_fricative	Voiced_retroflex_fricative	ʐ	◌ʐ
ʑ	https://en.wikipedia.org/wiki/Voiced_alveolo-palatal_fricative	Voiced_alveolo-palatal_fricative	ʑ	◌ʑ
ʒ	https://en.wikipedia.org/wiki/Voiced_postalveolar_fricative	Voiced_postalveolar_fricative	ʒ	◌ʒ
ʔ	https://en.wikipedia.org/wiki/Glottal_stop	Glottal_stop	ʔ	◌ʔ
ʔh	https://en.wikipedia.org/wiki/Voiceless_glottal_affricate	Voiceless_glottal_affricate	ʔh	◌ʔ ◌h
ʔ̞	https://en.wikipedia.org/wiki/Creaky-voiced_glottal_approximant	Creaky-voiced_glottal_approximant	ʔ̞	◌ʔ ◌̞
ʕ	https://en.wikipedia.org/wiki/Voiced_pharyngeal_fricative	Voiced_pharyngeal_fricative	ʕ	◌ʕ
ʙ	https://en.wikipedia.org/wiki/Bilabial_trill	Bilabial_trill	ʙ	◌ʙ
ʙ̥	https://en.wikipedia.org/wiki/Voiceless_bilabial_trill	Voiceless_bilabial_trill	ʙ̥	◌ʙ ◌̥
ʜ	https://en.wikipedia.org/wiki/Voiceless_epiglottal_trill	Voiceless_epiglottal_trill	ʜ	◌ʜ
ʝ	https://en.wikipedia.org/wiki/Voiced_palatal_fricative#Palatal	Voiced_palatal_fricative#Palatal	ʝ	◌ʝ
ʟ	https://en.wikipedia.org/wiki/Velar_lateral_approximant	Velar_lateral_approximant	ʟ	◌ʟ
ʟ̝	https://en.wikipedia.org/wiki/Voiced_velar_lateral_fricative	Voiced_velar_lateral_fricative	ʟ̝	◌ʟ ◌̝
ʟ̝̥	https://en.wikipedia.org/wiki/Voiceless_velar_lateral_fricative	Voiceless_velar_lateral_fricative	ʟ̝̊	◌ʟ ◌̝ ◌̥
ʟ̠	https://en.wikipedia.org/wiki/Uvular_lateral_approximant	Uvular_lateral_approximant	ʟ̠	◌ʟ ◌̠
ʟ̥	https://en.wikipedia.org/wiki/Voiceless_velar_lateral_approximant	Voiceless_velar_lateral_approximant	ʟ̥	◌ʟ ◌̥
ʡ	https://en.wikipedia.org/wiki/Epiglottal_stop	Epiglottal_stop	ʡ	◌ʡ
ʢ	https://en.wikipedia.org/wiki/Voiced_epiglottal_trill	Voiced_epiglottal_trill	ʢ	◌ʢ
ʢ	https://en.wikipedia.org/wiki/Voiced_epiglottal_trill	Voiced_epiglottal_trill	ʢ	◌ʢ
β	https://en.wikipedia.org/wiki/Voiced_bilabial_fricative	Voiced_bilabial_fricative	β	◌β
θ	https://en.wikipedia.org/wiki/Voiceless_dental_fricative	Voiceless_dental_fricative	θ	◌θ
θ̠	https://en.wikipedia.org/wiki/Voiceless_alveolar_non-sibilant_fricative	Voiceless_alveolar_non-sibilant_fricative	θ̠	◌θ ◌̠
θ̼	https://en.wikipedia.org/wiki/Voiceless_linguolabial_fricative	Voiceless_linguolabial_fricative	θ̼	◌θ ◌̼
χ	https://en.wikipedia.org/wiki/Voiceless_uvular_fricative	Voiceless_uvular_fricative	χ	◌χ
ⱱ	https://en.wikipedia.org/wiki/Labiodental_flap	Labiodental_flap	ⱱ	◌ⱱ
ⱱ̟	https://en.wikipedia.org/wiki/Bilabial_flap	Bilabial_flap	ⱱ̟	◌ⱱ ◌̟
