BIPA	ID	GRAPHEME	FEATURES	SYMBOLS
ⁿd̪	5780	n̪d̪	pulmonic stop prenasalized voiced dental	◌ⁿ ◌d ◌̪
ⁿdz̪	2157	n̪d̪z̪	pulmonic affricate sibilant prenasalized voiced dental	◌ⁿ ◌d ◌z ◌̪
ⁿs̪	1815	n̪s̪	pulmonic fricative sibilant prenasalized voiceless dental alveolar	◌ⁿ ◌s ◌̪
ⁿt̪	5802	n̪t̪	pulmonic stop prenasalized voiceless dental	◌ⁿ ◌t ◌̪
ⁿts̪	5819	n̪t̪s̪	pulmonic affricate sibilant prenasalized voiceless alveolar	◌ⁿ ◌t ◌s ◌̪
ⁿts̪ʰ	5820	n̪t̪s̪ʰ	pulmonic affricate sibilant prenasalized aspirated voiceless alveolar	◌ⁿ ◌t ◌s ◌̪ ◌ʰ
ⁿt̪ʰ	5818	n̪t̪ʰ	pulmonic stop prenasalized aspirated voiceless dental alveolar	◌ⁿ ◌t ◌̪ ◌ʰ
ⁿz̪	2164	n̪z̪	pulmonic fricative sibilant prenasalized voiced dental	◌ⁿ ◌z ◌̪
n̪ʲ	1943	n̪ʲ	pulmonic nasal voiced palatalized dental	◌n ◌̪ ◌ʲ
n̪ˠ	1976	n̪ˠ	pulmonic nasal voiced velarized dental	◌n ◌̪ ◌ˠ
n̪ʱ	1957	n̪̤	pulmonic nasal breathy voiced dental	◌n ◌̪ ◌ʱ
n̪̥	5811	n̪̥	pulmonic nasal voiceless dental	◌n ◌̪ ◌̥
n̪̰	2398	n̪̰	pulmonic nasal voiced laryngealized dental	◌n ◌̪ ◌̰
n̰	4951	n̰	pulmonic nasal voiced laryngealized alveolar	◌n ◌̰
n̰ʲ	5957	n̰ʲ	pulmonic nasal voiced laryngealized palatalized alveolar	◌n ◌̰ ◌ʲ
o	192	o	higher mid back rounded	◌o
o	240	o'	unspecified mid back rounded	◌o
oa	1575	oa	diphtong higher mid low central back unrounded rounded lowering fronting unrounding	◌o ◌a
oe	1578	oe	diphtong higher mid front back unrounded rounded fronting unrounding	◌o ◌e
oi	1478	oi	diphtong high higher mid front back unrounded rounded rising fronting unrounding	◌o ◌i
ou	3937	ou	diphtong high higher mid back rounded rising	◌o ◌u
oɨ	1568	oɨ	diphtong high higher mid central back unrounded rounded rising fronting unrounding	◌o ◌ɨ
oʉ	5995	oʉ	diphtong high higher mid central back rounded rising fronting	◌o ◌ʉ
oʊ	1506	oʊ	diphtong lowered high higher mid back rounded rising	◌o ◌ʊ
oˀ	5986	oˀ	laryngealized higher mid back rounded	◌o ◌ˀ
oː	5503	oː	long higher mid back rounded	◌o ◌ː
oː	1639	oː'	long unspecified mid back rounded	◌o ◌ː
õ	5875	õ	nasalized higher mid back rounded	◌o ◌̃
õ	1642	õ'	nasalized unspecified mid back rounded	◌o ◌̃
õã	1573	õã	nasalized diphtong higher mid low central back unrounded rounded lowering fronting unrounding	◌o ◌̃ ◌a ◌̃
õĩ	1501	õĩ	nasalized diphtong high higher mid front back unrounded rounded rising fronting unrounding	◌o ◌̃ ◌i ◌̃
