BIPA	GRAPHEME	FEATURES	COUNT	ID	SYMBOLS
rʲ	Rʲ	0:-:-:-:-:+:+:+:0:+:0:0:-:-:-:0:0:+:+:-:-:+:+:-:+:-:0:0:0:+:-:-:-:-:-:-:-	1	B2D4EE300E7B664F435E0527562F2C1D	◌r ◌ʲ
r̪	R̪	0:-:-:-:-:+:+:+:0:+:0:0:-:-:-:0:0:+:+:+:-:-:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	1	9366C5ACC2289234C5F22E7520B7237E	◌r ◌̪
r	R̪|R	0:-:-:-:-:+:+:+:0:+:0:0:-:-:-:0:0:+:+:0:-:-:0:0:0:0:0:0:0:+:-:-:-:-:-:-:-	36	DC20C7A23ECD8CC6769DC535D7043519	◌r
r̥	R̪̥|R̥	0:-:-:-:-:+:+:+:0:+:0:0:-:-:-:0:0:+:+:0:-:-:0:0:0:0:0:0:0:-:-:-:-:-:-:-:-	1	848799B9B0C84C8E03CB4177298A1145	◌r ◌̥
r̰	R̪̰|R̰	0:-:-:-:-:+:+:+:0:+:0:0:-:-:-:0:0:+:+:0:-:-:0:0:0:0:0:0:0:+:-:-:+:-:-:-:-	3	7F25062D4D0C2A59AA39A4095D6B8ACA	◌r ◌̰
a	a	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+:-:-:0:-:-:+:-:-:-:0:-:-:0	2600	72FB536ACFF408163656BBCDAFCAC6F6	◌a
ae	ae	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+,-:-,+:-:+:-:-:+:-:-:-:0:-:-:0	8	3BF061602328921B3DB56E3BE972EDF7	◌a ◌e
ae̞	ae̞	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+,-:-,+:-:0:-:-:+:-:-:-:0:-:-:0	4	446EC50F4DE4491624BF56ECAA33A4AA	◌a ◌e ◌̞
ae̞ˤ	ae̞ˤ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+,-:-,+:-:0:-,+:-:+:-:-:-:0:-:-:0	1	DF25A30FB876C25616AF57CCD704D926	◌a ◌e ◌̞ ◌ˤ
ae̯	ae̯	0:-:+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+,-:-,+:-:+:-:-:+:-:-:-:0:-:-:0	3	9F33F3FE0F7FD259D4B957CDCF0384E4	◌a ◌e ◌̯
ai	ai	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-,+:-:+:-:-:+:-:-:-:0:-:-:0	90	5E12425DA8E8C8FD24F187BE6A56D20F	◌a ◌i
ai̯	ai̯	0:-:+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-,+:-:+:-:-:+:-:-:-:0:-:-:0	16	2E1C3558F634FA79C03DE0AD2BB4EBBE	◌a ◌i ◌̯
ai̯ː	ai̯ː	0:-:+,-:-:-,+:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-,+:-:+:-:-:+:-:-:-:0:-:-:0	1	41D17D266E2604802A6360626C80A255	◌a ◌i ◌̯ ◌ː
ao	ao	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-:+,-:-:-,+:+:-:-:+:-:-:-:0:-:-:0	10	4B7855340AF892F354DCD3EB6DBC99D3	◌a ◌o
ao̞	ao̞	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-:+,-:-:-,+:0:-:-:+:-:-:-:0:-:-:0	4	510D4DC6C550C18C24724535CF6E8918	◌a ◌o ◌̞
ao̞ˤ	ao̞ˤ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-:+,-:-:-,+:0:-,+:-:+:-:-:-:0:-:-:0	1	0203F0E46D6FB0D187A81E3CFA16E125	◌a ◌o ◌̞ ◌ˤ
au	au	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-,+:+,-:-:-,+:+:-:-:+:-:-:-:0:-:-:0	77	25061B1A6BE5A4214D5C675C56B92574	◌a ◌u
auː	auː	0:-:+:-:-,+:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-,+:+,-:-:-,+:+:-:-:+:-:-:-:0:-:-:0	1	9A7101553AFE47F799CD7761D63B5D76	◌a ◌u ◌ː
au̜	au̜	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:0:-:-:0:0:0:+:-,+:+,-:-:-,+:+:-:-:+:-:-:-:0:-:-:0	1	B2AFE2BDCA576EF8E17BDBF34BB9DBE1	◌a ◌u ◌̜
au̯	au̯	0:-:+,-:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-,+:+,-:-:-,+:+:-:-:+:-:-:-:0:-:-:0	13	3018AA96B2382DDD9C8D41B172FA1E87	◌a ◌u ◌̯
ay	ay	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-,+:+,-:-,+:-:+:-:-:+:-:-:-:0:-:-:0	2	8154FCBD2FE28F50ACBB8F417E14B8BF	◌a ◌y
aɔ	aɔ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-,+:+:-:-:0:0:0:+:-:+,-:-:-,+:-:-:-:+:-:-:-:0:-:-:0	1	381E07DFE1AC552DA763CFD5A48D46F3	◌a ◌ɔ
aə	aə	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+,-:-:-:-:-:-:+:-:-:-:0:-:-:0	1	A83815B758A994FC8FCA93824820697E	◌a ◌ə
aɛ	aɛ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-:+,-:-,+:-:-:-:-:+:-:-:-:0:-:-:0	5	29B3B9F2A1B0178DC72557A047EC3246	◌a ◌ɛ
aɨ	aɨ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-:-:+:-:-:+:-:-:-:0:-:-:0	2	535A826D1EC88966353000B3B05C2094	◌a ◌ɨ
aɪ	aɪ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-,+:-:-:-:-:+:-:-:-:0:-:-:0	16	49FD5CEF44ED98F131FF370446B7412E	◌a ◌ɪ
aɪ̃	aɪ̃	0:-:+:-:-:-:+:+:0:+:-:-:-,+:-:-:0:0:-:0:0:0:+:-,+:+,-:-,+:-:-:-:-:+:-:-:-:0:-:-:0	3	B34BA46A79ECC81BEECFE9E0675B343A	◌a ◌ɪ ◌̃
aɪ̯	aɪ̯	0:-:+,-:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-,+:-:-:-:-:+:-:-:-:0:-:-:0	1	A650A3DBB9490D90513F8F94B7C48364	◌a ◌ɪ ◌̯
aɯ	aɯ	0:-:+:-:-:-:+:+:0:+:-:-:-:-:-:0:0:-:0:0:0:+:-,+:+,-:-:-,+:+:-:-:+:-:-:-:0:-:-:0	4	E6B424B5DCAE7554EF762BE5F76E64CD	◌a ◌ɯ
