BIPA	GRAPHEME	SOUND	FEATURES	IMAGE	SYMBOLS
sʼ	sʼ	VL_alveolar-fricative_ejective.mp3	a voiceless alveolar fricative ejective	IPA-132-401.gif	◌s ◌ʼ
s̬	s̬	voiced_VL_alveolar_fricative.mp3	a voiced voiceless alveolar fricative	IPA-132-403.gif	◌s ◌̬
t	t	VL_alveolar_plosive.mp3	a voiceless alveolar plosive	IPA-103.gif	◌t
ts	ts	ts_affricate.mp3	an affricated ts	IPA-103-132-509.gif	◌t ◌s
tʰ	tʰ	aspirated_VL_alveolar_plosive.mp3	an aspirated voiceless alveolar plosive	IPA-103-404.gif	◌t ◌ʰ
tʲ	tʲ	palatalized_VL_alveolar plosive.mp3	a palatalized voiceless alveolar plosive	IPA-103-421.gif	◌t ◌ʲ
tʷ	tʷ	labialized_VL_alveolar_plosive.mp3	a labialized voiceless alveolar plosive	IPA-103-420.gif	◌t ◌ʷ
tʼ	tʼ	VL_dental_ejective.mp3	a voiceless dental/alveolar ejective	IPA-103-401.gif	◌t ◌ʼ
tˠ	tˠ	velarized_VL_alveolar_plosive.mp3	a velarized voiceless alveolar plosive	IPA-103-422.gif	◌t ◌ˠ
tˤ	tˤ	pharyngealized_VL_alveolar_plosive.mp3	a pharyngealized voiceless alveolar plosive	IPA-103-423.gif	◌t ◌ˤ
t̪	t̪	dentalized_VL_alveolar_plosive.mp3	a dentalized voiceless alveolar plosive	IPA-103-408.gif	◌t ◌̪
t̼	t̫	linguolabialized_VL_alveolar_plosive.mp3	a linguolabialized voiceless alveolar plosive	IPA-103-407.gif	◌t ◌̼
t̬	t̬	voiced_VL_alveolar_plosive.mp3	a voiced voiceless alveolar plosive	IPA-103-403.gif	◌t ◌̬
t̺	t̺	apical_VL_alveolar_plosive.mp3	an apical voiceless alveolar plosive	IPA-103-409.gif	◌t ◌̺
t̻	t̻	laminal_VL_alveolar_plosive.mp3	a laminal voiceless alveolar plosive	IPA-103-410.gif	◌t ◌̻
u̟	u̟	advanced_close_back_rounded.mp3	an advanced close back rounded vowel	IPA-308-413.gif	◌u ◌̟
v	v	V_labiodental_fricative.mp3	a voiced labiodental fricative	IPA-129.gif	◌v
w	w	V_labial-velar_approximant.mp3	a voiced labial-velar approximant	IPA-170.gif	◌w
x	x	VL_velar_fricative.mp3	a voiceless velar fricative	IPA-140.gif	◌x
z	z	V_alveolar_fricative.mp3	a voiced alveolar fricative	IPA-133.gif	◌z
