BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɔ	rounded open-mid back vowel		+	ɔ	◌ɔ						49	
ɔi	from rounded open-mid back to unrounded close front diphthong	+	+	ɔi	◌ɔ ◌i						4	
ɔu	from rounded open-mid back to rounded close back diphthong	+	+	ɔu	◌ɔ ◌u						1	
ɔ̃	nasalized rounded open-mid back vowel		+	ɔ̃	◌ɔ ◌̃						2	
ɕ	voiceless alveolo-palatal sibilant fricative consonant		+	ɕ	◌ɕ						12	
ə	unrounded mid central vowel		+	ə	◌ə						47	
əi	from unrounded mid central to unrounded close front diphthong	+	+	əi	◌ə ◌i						2	
əu	from unrounded mid central to rounded close back diphthong	+	+	əu	◌ə ◌u						10	
ə˞	rhotacized unrounded mid central vowel		+	ɚ	◌ə ◌˞						5	
ə̃	nasalized unrounded mid central vowel		+	ə̃	◌ə ◌̃						3	
ɛ	unrounded open-mid front vowel		+	ɛ	◌ɛ						40	
ɛu	from unrounded open-mid front to rounded close back diphthong	+	+	ɛu	◌ɛ ◌u						4	
ɛ̃	nasalized unrounded open-mid front vowel		+	ɛ̃	◌ɛ ◌̃						2	
ɜ	unrounded open-mid central vowel		+	ɜ	◌ɜ						1	
ɤ	unrounded close-mid back vowel		+	ɤ	◌ɤ						4	
ɤɯ	from unrounded close-mid back to unrounded close back diphthong	+	+	ɤɯ	◌ɤ ◌ɯ						2	
ɦ	voiced glottal fricative consonant		+	ɦ	◌ɦ						2	
ɪ	unrounded near-close near-front vowel		+	ɪ	◌ɪ						6	
ɪ̃	nasalized unrounded near-close near-front vowel		+	ɪ̃	◌ɪ ◌̃						1	
ɬ	voiceless alveolar lateral fricative consonant		+	ɬ	◌ɬ						1	
ɯ	unrounded close back vowel		+	ɯ	◌ɯ						5	
ɿ	unrounded close with-friction back vowel		+	ɿ	◌ɿ						14	
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ	◌ʂ						5	
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ	◌ʃ						2	
ʅ	unrounded close with-friction central vowel		+	ʅ	◌ʅ						5	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	tʂ	◌ʈ ◌ʂ						5	
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		+	tʂ’	◌ʈ ◌ʂ ◌ʰ						5	
ʊ	rounded near-close near-back vowel		+	ʊ	◌ʊ						4	
ʊ̃	nasalized rounded near-close near-back vowel		+	ʊ̃	◌ʊ ◌̃						1	
ʏ	rounded near-close near-front vowel		+	ʏ	◌ʏ						3	
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ	◌ʐ						5	
ʔ	voiceless glottal stop consonant		+	ʔ	◌ʔ						92	
ʮ	rounded close with-friction back vowel		+	ʮ	◌ʮ						1	
⁰	short neutral tone		+	⁰	◌⁰						10	
⁴	short from-mid-high tone		+	⁴	◌⁴						6	
⁴²	falling from-mid-high to-mid-low tone		+	⁴²	◌⁴ ◌²						5	
⁴¹	falling from-mid-high to-low tone		+	⁴¹	◌⁴ ◌¹						3	
⁴⁴	flat from-mid-high to-mid-high tone		+	⁴⁴	◌⁴ ◌⁴						6	
⁴⁴³	falling from-mid-high via-mid-high to-mid tone		+	⁴⁴³	◌⁴ ◌⁴ ◌³						1	
⁴⁴³	falling from-mid-high via-mid-high to-mid tone		+	⁴⁴³_	◌⁴ ◌⁴ ◌³						1	
⁴⁵	rising from-mid-high to-high tone		+	⁴⁵	◌⁴ ◌⁵						2	
⁴⁵⁴	contour from-mid-high via-high to-mid-high tone		+	⁴⁵⁴	◌⁴ ◌⁵ ◌⁴						1	
⁴⁵⁴	contour from-mid-high via-high to-mid-high tone		+	⁴⁵⁴_	◌⁴ ◌⁵ ◌⁴						1	
⁵	short from-high tone		+	⁵	◌⁵						3	
⁵²	falling from-high to-mid-low tone		+	⁵²	◌⁵ ◌²						1	
⁵³	falling from-high to-mid tone		+	⁵³	◌⁵ ◌³						6	
⁵¹	falling from-high to-low tone		+	⁵¹	◌⁵ ◌¹						2	
⁵¹³	contour from-high via-low to-mid tone		+	⁵¹³	◌⁵ ◌¹ ◌³						1	
⁵⁵	flat from-high to-high tone		+	⁵⁵	◌⁵ ◌⁵						9	
