BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
t̩ʲː	syllabic palatalized long voiceless alveolar stop consonant	+	+	t̩ʲː	◌t ◌̩ ◌ʲ ◌ː		\textipa{\s{t}}\super j\textlengthmark	alveolar, palatal:plosive:−voice +syllabic				
t̩ʷ	syllabic labialized voiceless alveolar stop consonant	+	+	t̩ʷ	◌t ◌̩ ◌ʷ		\textipa{\s{t}}\super w	alveolar, labial:plosive:−voice +syllabic				
t̩ʷː	syllabic labialized long voiceless alveolar stop consonant	+	+	t̩ʷː	◌t ◌̩ ◌ʷ ◌ː		\textipa{\s{t}}\super w\textlengthmark	alveolar, labial:plosive:−voice +syllabic				
t̩ː	syllabic long voiceless alveolar stop consonant	+	+	t̩ː	◌t ◌̩ ◌ː		\textipa{\s{t}}\textlengthmark	alveolar:plosive:−voice +syllabic				
t̪	voiceless dental stop consonant		+	t̪	◌t ◌̪		\textsubbridge{t}	dental:plosive:−voice				
t̪ʰ	aspirated voiceless dental stop consonant		+	t̪ʰ	◌t ◌̪ ◌ʰ		\textsubbridge{t} extsuperscript{h}	dental:plosive:−voice +spread glottis				
t̪ʰː	aspirated long voiceless dental stop consonant		+	t̪ʰː	◌t ◌̪ ◌ʰ ◌ː		\textsubbridge{t} extsuperscript{h}\textlengthmark	dental:plosive:−voice +spread glottis				
t̪ʲ	palatalized voiceless dental stop consonant		+	t̪ʲ	◌t ◌̪ ◌ʲ		\textsubbridge{t}\super j	dental, palatal:plosive:−voice				
t̪ʲː	palatalized long voiceless dental stop consonant	+	+	t̪ʲː	◌t ◌̪ ◌ʲ ◌ː		\textsubbridge{t}\super j\textlengthmark	dental, palatal:plosive:−voice				
t̪ʷ	labialized voiceless dental stop consonant		+	t̪ʷ	◌t ◌̪ ◌ʷ		\textsubbridge{t}\super w	dental, labial:plosive:−voice				
t̪ʷː	labialized long voiceless dental stop consonant	+	+	t̪ʷː	◌t ◌̪ ◌ʷ ◌ː		\textsubbridge{t}\super w\textlengthmark	dental, labial:plosive:−voice				
t̪ː	long voiceless dental stop consonant		+	t̪ː	◌t ◌̪ ◌ː		\textsubbridge{t}\textlengthmark	dental:plosive:−voice				
ts̪	voiceless dental sibilant affricate consonant		+	t̪͡s̪	◌t ◌s ◌̪		\t{\textsubbridge{t}\textsubbridge{s}}	dental:affricate:−voice				
ts̪ʰ	aspirated voiceless dental sibilant affricate consonant		+	t̪͡s̪ʰ	◌t ◌s ◌̪ ◌ʰ		\t{\textsubbridge{t}\textsubbridge{s}} extsuperscript{h}	dental:affricate:−voice +spread glottis				
ts̪ʰː	aspirated long voiceless dental sibilant affricate consonant	+	+	t̪͡s̪ʰː	◌t ◌s ◌̪ ◌ʰ ◌ː		\t{\textsubbridge{t}\textsubbridge{s}} extsuperscript{h}\textlengthmark	dental:affricate:−voice +spread glottis				
ts̪ʲ	palatalized voiceless dental sibilant affricate consonant		+	t̪͡s̪ʲ	◌t ◌s ◌̪ ◌ʲ		\t{\textsubbridge{t}\textsubbridge{s}}\super j	dental, palatal:affricate:−voice				
