BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
wʰ	aspirated voiced labio-velar approximant consonant	+	+	wʰ	◌w ◌ʰ	http://eurasianphonology.info/search_exact?dialects=True&query=w%CA%B0					1	
wʲ	palatalized voiced labio-velar approximant consonant	+	+	wʲ	◌w ◌ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=w%CA%B2					3	
wˀ	glottalized voiced labio-velar approximant consonant	+	+	wˀ	◌w ◌ˀ	http://eurasianphonology.info/search_exact?dialects=True&query=w%CB%80					1	
w̥	devoiced voiced labio-velar approximant consonant	+	+	w̥	◌w ◌̥	http://eurasianphonology.info/search_exact?dialects=True&query=w%CC%A5					1	
w̩	syllabic voiced labio-velar approximant consonant	+	+	w̜	◌w ◌̩	http://eurasianphonology.info/search_exact?dialects=True&query=w%CC%9C					1	
w̩ʲ	syllabic palatalized voiced labio-velar approximant consonant	+	+	w̜ʲ	◌w ◌̩ ◌ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=w%CC%9C%CA%B2					1	
x	voiceless velar fricative consonant		+	x	◌x	http://eurasianphonology.info/search_exact?dialects=True&query=x					185	
xʰ	aspirated voiceless velar fricative consonant	+	+	xʰ	◌x ◌ʰ	http://eurasianphonology.info/search_exact?dialects=True&query=x%CA%B0					7	
xʲ	palatalized voiceless velar fricative consonant		+	xʲ	◌x ◌ʲ	http://eurasianphonology.info/search_exact?dialects=True&query=x%CA%B2					11	
xʲː	palatalized long voiceless velar fricative consonant	+	+	xʲː	◌x ◌ʲ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=x%CA%B2%CB%90					1	
xʷ	labialized voiceless velar fricative consonant		+	xʷ	◌x ◌ʷ	http://eurasianphonology.info/search_exact?dialects=True&query=x%CA%B7					9	
xʷː	labialized long voiceless velar fricative consonant	+	+	xːʷ	◌x ◌ʷ ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=x%CB%90%CA%B7					2	
xː	long voiceless velar fricative consonant	+	+	xː	◌x ◌ː	http://eurasianphonology.info/search_exact?dialects=True&query=x%CB%90					6	
x̠	retracted voiceless velar fricative consonant	+	+	x̠	◌x ◌̠	http://eurasianphonology.info/search_exact?dialects=True&query=x%CC%A0					2	
y	rounded close front vowel		+	y	◌y	http://eurasianphonology.info/search_exact?dialects=True&query=y					80	
ya	from rounded close front to unrounded open front diphthong	+	+	ya	◌y ◌a	http://eurasianphonology.info/search_exact?dialects=True&query=ya					2	
ye	from rounded close front to unrounded close-mid front diphthong	+	+	ye	◌y ◌e	http://eurasianphonology.info/search_exact?dialects=True&query=ye					3	
yi	from rounded close front to unrounded close front diphthong	+	+	yi	◌y ◌i	http://eurasianphonology.info/search_exact?dialects=True&query=yi					2	
yĩ	from rounded close front to nasalized unrounded close front diphthong	+	+	yĩ	◌y ◌i ◌̃	http://eurasianphonology.info/search_exact?dialects=True&query=yi%CC%83					1	
yi̯	from rounded close front to non-syllabic unrounded close front diphthong	+	+	yi̯	◌y ◌i ◌̯	http://eurasianphonology.info/search_exact?dialects=True&query=yi%CC%AF					2	
