BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɛ̃	nasalized unrounded open-mid front vowel		+	ɛ̃	◌ɛ ◌̃						5	
ɣ	voiced velar fricative consonant		+	ɣ	◌ɣ						7	
ɥ	voiced labio-palatal approximant consonant		+	ɥ	◌ɥ						1	
ɯ	unrounded close back vowel		+	ɯ	◌ɯ						9	
ɯ̃	nasalized unrounded close back vowel		+	ɯ̃	◌ɯ ◌̃						4	
ɴ	voiced uvular nasal consonant		+	ɴ	◌ɴ						1	
ɴ̥	devoiced voiced uvular nasal consonant		+	ɴ̥	◌ɴ ◌̥						1	
ɿ	unrounded close with-friction back vowel		+	ɿ	◌ɿ						7	
ʁ	voiced uvular fricative consonant		+	ʁ	◌ʁ						1	
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ	◌ʂ						2	
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ	◌ʃ						1	
ʈ	voiceless retroflex stop consonant		+	ʈ	◌ʈ						1	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	tʂ	◌ʈ ◌ʂ						2	
ʈʂʰ	aspirated voiceless retroflex sibilant affricate consonant		+	tʂʰ	◌ʈ ◌ʂ ◌ʰ						2	
ʈʰ	aspirated voiceless retroflex stop consonant		+	ʈʰ	◌ʈ ◌ʰ						1	
ʊ	rounded near-close near-back vowel		+	ʊ	◌ʊ						1	
ʊ̃	nasalized rounded near-close near-back vowel		+	ʊ̃	◌ʊ ◌̃						1	
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ	◌ʐ						3	
ʔ	voiceless glottal stop consonant		+	ʔ	◌ʔ						1	
ʝ	voiced palatal fricative consonant		+	ʝ	◌ʝ						1	
χ	voiceless uvular fricative consonant		+	χ	◌χ						1	
⁴²	falling from-mid-high to-mid-low tone		+	42	◌⁴ ◌²						8	
⁴⁴	flat from-mid-high to-mid-high tone		+	44	◌⁴ ◌⁴						9	
⁵²	falling from-high to-mid-low tone		+	52	◌⁵ ◌²						1	
⁵⁵	flat from-high to-high tone		+	55	◌⁵ ◌⁵						9	
