BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ʊ̃	nasalized rounded near-close near-back vowel		+	ʊ̃	◌ʊ ◌̃							
ʋ	voiced labio-dental approximant consonant		+	ʋ	◌ʋ							
ʌ	unrounded open-mid back vowel		+	ʌ	◌ʌ							
ʌː	long unrounded open-mid back vowel		+	ʌː	◌ʌ ◌ː							
ʌ̃	nasalized unrounded open-mid back vowel		+	ʌ̃	◌ʌ ◌̃							
ʌ̃ː	long nasalized unrounded open-mid back vowel		+	ʌ̃ː	◌ʌ ◌̃ ◌ː							
ʎ	voiced palatal lateral approximant consonant		+	ʎ	◌ʎ							
ʏ	rounded near-close near-front vowel		+	ʏ	◌ʏ							
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ	◌ʐ							
ʒ	voiced post-alveolar sibilant fricative consonant		+	ʒ	◌ʒ							
ʒ̺	voiced apical post-alveolar sibilant fricative consonant	+	+	ʒ̺	◌ʒ ◌̺							
ʔ	voiceless glottal stop consonant		+	ʔ	◌ʔ							
ˀb	pre-glottalized voiced bilabial stop consonant	+	+	ʔb	◌ˀ ◌b							
ˀd	pre-glottalized voiced alveolar stop consonant	+	+	ʔd	◌ˀ ◌d							
ˀdʒ	pre-glottalized voiced post-alveolar sibilant affricate consonant	+	+	ʔdʒ	◌ˀ ◌d ◌ʒ							
ˀw	pre-glottalized voiced labio-velar approximant consonant	+	+	ʔw	◌ˀ ◌w							
ˀɾ	pre-glottalized voiced alveolar tap consonant	+	+	ʔɾ	◌ˀ ◌ɾ							
ʔʲ	palatalized voiceless glottal stop consonant		+	ʔʲ	◌ʔ ◌ʲ							
ʕ	voiced pharyngeal fricative consonant		+	ʕ	◌ʕ							
ʙ	voiced bilabial trill consonant		+	ʙ	◌ʙ							
ʝ	voiced palatal fricative consonant		+	ʝ	◌ʝ							
ʰb	pre-aspirated voiced bilabial stop consonant	+	+	ʰb	◌ʰ ◌b							
ʰc	pre-aspirated voiceless palatal stop consonant	+	+	ʰc	◌ʰ ◌c							
ʰd	pre-aspirated voiced alveolar stop consonant	+	+	ʰd	◌ʰ ◌d							
ʰj	pre-aspirated voiced palatal approximant consonant	+	+	ʰj	◌ʰ ◌j							
ʰk	pre-aspirated voiceless velar stop consonant		+	ʰk	◌ʰ ◌k							
ʰkʷ	pre-aspirated labialized voiceless velar stop consonant	+	+	ʰkʷ	◌ʰ ◌k ◌ʷ							
ʰm	pre-aspirated voiced bilabial nasal consonant	+	+	ʰm	◌ʰ ◌m							
ʰn	pre-aspirated voiced alveolar nasal consonant	+	+	ʰn	◌ʰ ◌n							
ʰt	pre-aspirated voiceless alveolar stop consonant		+	ʰt	◌ʰ ◌t							
ʰw	pre-aspirated voiced labio-velar approximant consonant	+	+	ʰw	◌ʰ ◌w							
ʰɟ	pre-aspirated voiced palatal stop consonant	+	+	ʰɟ	◌ʰ ◌ɟ							
ʰɾ	pre-aspirated voiced alveolar tap consonant	+	+	ʰɾ	◌ʰ ◌ɾ							
β	voiced bilabial fricative consonant		+	β	◌β							
βʲ	palatalized voiced bilabial fricative consonant	+	+	βʲ	◌β ◌ʲ							
β̞	voiced bilabial approximant consonant		+	β̞	◌β ◌̞							
θ	voiceless dental fricative consonant		+	θ	◌θ							
θʲ	palatalized voiceless dental fricative consonant	+	+	θʲ	◌θ ◌ʲ							
χ	voiceless uvular fricative consonant		+	χ	◌χ							
χʷ	labialized voiceless uvular fricative consonant		+	χʷ	◌χ ◌ʷ							
