BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ɱ	voiced labio-dental nasal consonant		+	ɱ	◌ɱ			a voiced labiodental nasal	V_labiodental_nasal.mp3	IPA-115.gif		
ɲ	voiced palatal nasal consonant		+	ɲ	◌ɲ			a voiced palatal nasal	V_palatal_nasal.mp3	IPA-118.gif		
ɳ	voiced retroflex nasal consonant		+	ɳ	◌ɳ			a voiced retroflex nasal	V_retroflex_nasal.mp3	IPA-117.gif		
ɴ	voiced uvular nasal consonant		+	ɴ	◌ɴ			a voiced uvular nasal	V_uvular_nasal.mp3	IPA-120.gif		
ɹ	voiced alveolar approximant consonant		+	ɹ	◌ɹ			a voiced alveolar approximant	V_alveolar_approximant.mp3	IPA-151.gif		
ɹ̝	raised voiced alveolar approximant consonant	+	+	ɹ̝	◌ɹ ◌̝			a raised voiced alveolar fricative	raised_V_alveolar_fricative.mp3	IPA-151-429.gif		
ɺ	voiced alveolar lateral tap consonant		+	ɺ	◌ɺ			a voiced alveolar lateral flap	V_alveolar_lateral_flap.mp3	IPA-181.gif		
ɻ	voiced retroflex approximant consonant		+	ɻ	◌ɻ			a voiced retroflex approximant	V_retroflex_approximant.mp3	IPA-152.gif		
ɽ	voiced retroflex tap consonant		+	ɽ	◌ɽ			a voiced retroflex tap	V_retroflex_tap.mp3	IPA-125.gif		
ɾ	voiced alveolar tap consonant		+	ɾ	◌ɾ			a voiced alveolar tap	V_alveolar_tap.mp3	IPA-124.gif		
ʀ	voiced uvular trill consonant		+	ʀ	◌ʀ			a voiced uvular trill	V_uvular_trill.mp3	IPA-123.gif		
ʁ	voiced uvular fricative consonant		+	ʁ	◌ʁ			a voiced uvular fricative	V_uvular_fricative.mp3	IPA-143.gif		
ʂ	voiceless retroflex sibilant fricative consonant		+	ʂ	◌ʂ			a voiceless retroflex fricative	VL_retroflex_fricative.mp3	IPA-136.gif		
ʃ	voiceless post-alveolar sibilant fricative consonant		+	ʃ	◌ʃ			a voiceless postalveolar fricative	VL_postalveolar_fricative.mp3	IPA-134.gif		
ʄ	voiced palatal implosive consonant		+	ʄ	◌ʄ			a voiced palatal implosive	V_palatal_implosive.mp3	IPA-164.gif		
ʈ	voiceless retroflex stop consonant		+	ʈ	◌ʈ			a voiceless retroflex plosive	VL_retroflex_plosive.mp3	IPA-105.gif		
ʋ	voiced labio-dental approximant consonant		+	ʋ	◌ʋ			a voiced labiodental approximant	V_labiodental_approximant.mp3	IPA-150.gif		
ʍ	voiceless labio-velar approximant consonant		+	ʍ	◌ʍ			a voiceless labial-velar fricative	VL_labial-velar_fricative.mp3	IPA-169.gif		
ʐ	voiced retroflex sibilant fricative consonant		+	ʐ	◌ʐ			a voiced retroflex fricative	V_retroflex_fricative.mp3	IPA-137.gif		
ʑ	voiced alveolo-palatal sibilant fricative consonant		+	ʑ	◌ʑ			a voiced alveolo-palatal fricative	V_alveolo-palatal_fricative.mp3	IPA-183.gif		
ʒ	voiced post-alveolar sibilant fricative consonant		+	ʒ	◌ʒ			a voiced postalveolar fricative	V_postalveolar_fricative.mp3	IPA-135.gif		
ʔ	voiceless glottal stop consonant		+	ʔ	◌ʔ			a voice	VL_glottal_plosive.mp3	IPA-113.gif		
ʕ	voiced pharyngeal fricative consonant		+	ʕ	◌ʕ			a voiced pharyngeal fricative	V_pharyngeal_fricative.mp3	IPA-145.gif		
ʘ	voiceless labial click consonant		+	ʘ	◌ʘ			a bilabial click	bilabial_click.mp3	IPA-176.gif		
ʙ	voiced bilabial trill consonant		+	ʙ	◌ʙ			a voiced bilabial trill	V_bilabial_trill.mp3	IPA-121.gif		
ʛ	voiced uvular implosive consonant		+	ʛ	◌ʛ			a voiced uvular implosive	V_uvular_implosive.mp3	IPA-168.gif		
ʜ	voiceless epiglottal fricative consonant		+	ʜ	◌ʜ			a voiceless epiglottal fricative	VL_epiglottal_fricative.mp3	IPA-172.gif		
ʝ	voiced palatal fricative consonant		+	ʝ	◌ʝ			a voiced palatal fricative	V_palatal_fricative.mp3	IPA-139.gif		
ʟ	voiced velar lateral approximant consonant		+	ʟ	◌ʟ			a voiced velar lateral approximant	V_velar_lateral-approximant.mp3	IPA-158.gif		
ʡ	voiceless epiglottal stop consonant		+	ʡ	◌ʡ			an epiglottal plosive	epiglottal_plosive.mp3	IPA-173.gif		
ʢ	voiced epiglottal fricative consonant		+	ʢ	◌ʢ			a voiced epiglottal fricative or approximant	V_epiglottal_fricative.mp3	IPA-174.gif		
β	voiced bilabial fricative consonant		+	β	◌β			a voiced bilabial fricative	V_bilabial_fricative.mp3	IPA-127.gif		
β̞	voiced bilabial approximant consonant		+	β̞	◌β ◌̞			a lowered bilabial approximant'	lowered_V_bilabial_approximant.mp3	IPA-127-430.gif		
θ	voiceless dental fricative consonant		+	θ	◌θ			a voiceless dental fricative	VL_dental_fricative.mp3	IPA-130.gif		
ʎ	voiced palatal lateral approximant consonant		+	λ	◌ʎ			a voiced palatal lateral approximant	V_palatal_lateral-approximant.mp3	IPA-157.gif		
χ	voiceless uvular fricative consonant		+	χ	◌χ			a voiceless uvular fricative	VL_uvular_fricative.mp3	IPA-142.gif		
ⱱ	voiced labio-dental tap consonant		+	ⱱ	◌ⱱ			a voiced labialdental flap	V_labialdental_flap.mp3	IPA-184.gif		
