BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
ʟ̥ʲ	palatalized devoiced voiced velar lateral approximant consonant	+	+	ʟ̥ʲ	◌ʟ ◌̥ ◌ʲ			-syl +son +cons +cont +lat -nas -voi -sg -cg -ant -cor -lab +hi -lo -back -round -velaric -long				
ʟ̥ʷ	labialized devoiced voiced velar lateral approximant consonant	+	+	ʟ̥ʷ	◌ʟ ◌̥ ◌ʷ			-syl +son +cons +cont +lat -nas -voi -sg -cg -ant -cor -lab +hi -lo +back +round -velaric -long				
ʟ̥ː	long devoiced voiced velar lateral approximant consonant	+	+	ʟ̥ː	◌ʟ ◌̥ ◌ː			-syl +son +cons +cont +lat -nas -voi -sg -cg -ant -cor -lab +hi -lo -round -velaric +long				
ʟ̥ˠ	velarized devoiced voiced velar lateral approximant consonant	+	+	ʟ̥ˠ	◌ʟ ◌̥ ◌ˠ			-syl +son +cons +cont +lat -nas -voi -sg -cg -ant -cor -lab +hi -lo +back -round -velaric -long				
ʟ̥ˤ	pharyngealized devoiced voiced velar lateral approximant consonant	+	+	ʟ̥ˤ	◌ʟ ◌̥ ◌ˤ			-syl +son +cons +cont +lat -nas -voi -sg -cg -ant -cor -lab +hi +lo +back -round -velaric -long				
ʟ̩	syllabic voiced velar lateral approximant consonant	+	+	ʟ̩	◌ʟ ◌̩			+syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟ̰	creaky voiced velar lateral approximant consonant	+	+	ʟ̰	◌ʟ ◌̰			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟ̰ʲ	palatalized creaky voiced velar lateral approximant consonant	+	+	ʟ̰ʲ	◌ʟ ◌̰ ◌ʲ			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -back -round -velaric -long				
ʟ̰ʷ	labialized creaky voiced velar lateral approximant consonant	+	+	ʟ̰ʷ	◌ʟ ◌̰ ◌ʷ			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi -lo +back +round -velaric -long				
ʟ̰ː	long creaky voiced velar lateral approximant consonant	+	+	ʟ̰ː	◌ʟ ◌̰ ◌ː			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric +long				
ʟ̰ˠ	velarized creaky voiced velar lateral approximant consonant	+	+	ʟ̰ˠ	◌ʟ ◌̰ ◌ˠ			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi -lo +back -round -velaric -long				
ʟ̰ˤ	pharyngealized creaky voiced velar lateral approximant consonant	+	+	ʟ̰ˤ	◌ʟ ◌̰ ◌ˤ			-syl +son +cons +cont +lat -nas +voi -sg +cg -ant -cor -lab +hi +lo +back -round -velaric -long				
ʟ̰̃	nasalized creaky voiced velar lateral approximant consonant	+	+	ʟ̰̃	◌ʟ ◌̰ ◌̃			-syl +son +cons +cont +lat +nas +voi -sg +cg -ant -cor -lab +hi -lo -round -velaric -long				
ʟᶣ	labio-palatalized voiced velar lateral approximant consonant	+	+	ʟᶣ	◌ʟ ◌ᶣ			-syl +son +cons +cont +lat -nas +voi -sg -cg -ant -cor -lab +hi -lo -back +round -velaric -long				
ˀb	pre-glottalized voiced bilabial stop consonant	+	+	ˀb	◌ˀ ◌b			-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant -cor +lab -hi -lo -back -round -velaric -long				
ˀbd	pre-glottalized voiced bilabial-and-alveolar stop consonant	+	+	ˀb͡d	◌ˀ ◌b ◌d			-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr +lab -hi -lo -back -round -velaric -long				
ˀbv	pre-glottalized voiced labio-dental affricate consonant	+	+	ˀb͡v	◌ˀ ◌b ◌v			-syl -son +cons -cont +delrel -lat -nas +strid +voi -sg +cg +ant -cor +lab -hi -lo -back -round -velaric -long				
ˀbβ	pre-glottalized voiced bilabial affricate consonant	+	+	ˀb͡β	◌ˀ ◌b ◌β			-syl -son +cons -cont +delrel -lat -nas -strid +voi -sg +cg +ant -cor +lab -round -velaric -long				
ˀc	pre-glottalized voiceless palatal stop consonant	+	+	ˀc	◌ˀ ◌c			-syl -son +cons -cont -delrel -lat -nas -voi -sg +cg -ant -cor -lab +hi -lo -back -round -velaric -long				
ˀcç	pre-glottalized voiceless palatal affricate consonant	+	+	ˀc͡ç	◌ˀ ◌c ◌c ◌̧			-syl -son +cons -cont +delrel -lat -nas -voi -sg +cg -ant +cor +distr -lab +hi -lo -back -round -velaric -long				
ˀd	pre-glottalized voiced alveolar stop consonant	+	+	ˀd	◌ˀ ◌d			-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric -long				
ˀd̪	pre-glottalized voiced dental stop consonant	+	+	ˀd̪	◌ˀ ◌d ◌̪			-syl -son +cons -cont -delrel -lat -nas +voi -sg +cg +ant +cor +distr -lab -hi -lo -back -round -velaric -long				
ˀdz̪	pre-glottalized voiced dental sibilant affricate consonant	+	+	ˀd̪͡z̪	◌ˀ ◌d ◌z ◌̪			-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg +ant +cor +distr -lab -round -velaric -long				
ˀdð	pre-glottalized voiced dental affricate consonant	+	+	ˀd̪͡ð	◌ˀ ◌d ◌ð			-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg +ant +cor +distr -lab -round -velaric -long				
ˀd̪ɮ	pre-glottalized voiced dental lateral affricate consonant	+	+	ˀd̪͡ɮ̪	◌ˀ ◌d ◌̪ ◌ɮ			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg +ant +cor -distr -lab -round -velaric -long				
ˀdz	pre-glottalized voiced alveolar sibilant affricate consonant	+	+	ˀd͡z	◌ˀ ◌d ◌z			-syl -son +cons -cont +delrel -lat -nas +voi -sg +cg +ant +cor -distr -lab -hi -lo -back -round -velaric -long				
ˀdɮ	pre-glottalized voiced alveolar lateral affricate consonant	+	+	ˀd͡ɮ	◌ˀ ◌d ◌ɮ			-syl -son +cons -cont +delrel +lat -nas +voi -sg +cg -ant +cor -distr -lab -round -velaric -long				
