ID	NAME	FEATURES	TYPE	GRAPHEME	UNICODE	GENERATED	NOTE
with-nasal-release_voiceless_palatal_click_consonant	with-nasal-release voiceless palatal click consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_palatal consonant_manner_click	consonant	ǂⁿ	LATIN LETTER ALVEOLAR CLICK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_labial_click_consonant	with-nasal-release voiceless labial click consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_labial consonant_manner_click	consonant	ʘⁿ	LATIN LETTER BILABIAL CLICK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_dental_stop_consonant	with-nasal-release voiceless dental stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_dental consonant_manner_stop	consonant	t̪ⁿ	LATIN SMALL LETTER T / COMBINING BRIDGE BELOW / SUPERSCRIPT LATIN SMALL LETTER N		
with-nasal-release_voiceless_dental_click_consonant	with-nasal-release voiceless dental click consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_dental consonant_manner_click	consonant	ǀⁿ	LATIN LETTER DENTAL CLICK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_bilabial-and-alveolar_stop_consonant	with-nasal-release voiceless bilabial-and-alveolar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_bilabial-and-alveolar consonant_manner_stop	consonant	ptⁿ	LATIN SMALL LETTER P / LATIN SMALL LETTER T / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_bilabial_stop_consonant	with-nasal-release voiceless bilabial stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_bilabial consonant_manner_stop	consonant	pⁿ	LATIN SMALL LETTER P / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_alveolo-palatal_stop_consonant	with-nasal-release voiceless alveolo-palatal stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_alveolo-palatal consonant_manner_stop	consonant	ȶⁿ	LATIN SMALL LETTER T WITH CURL / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_alveolar_stop_consonant	with-nasal-release voiceless alveolar stop consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_alveolar consonant_manner_stop	consonant	tⁿ	LATIN SMALL LETTER T / SUPERSCRIPT LATIN SMALL LETTER N		
with-nasal-release_voiceless_alveolar_lateral_click_consonant	with-nasal-release voiceless alveolar lateral click consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_alveolar consonant_airstream_lateral consonant_manner_click	consonant	ǁⁿ	LATIN LETTER LATERAL CLICK / SUPERSCRIPT LATIN SMALL LETTER N	+	
with-nasal-release_voiceless_alveolar_click_consonant	with-nasal-release voiceless alveolar click consonant	consonant_release_with-nasal-release consonant_phonation_voiceless consonant_place_alveolar consonant_manner_click	consonant	ǃⁿ	LATIN LETTER RETROFLEX CLICK / SUPERSCRIPT LATIN SMALL LETTER N	+	
