BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
<NA>	øƒNw	ɲ͡ŋw	conso:nasal:palatal_to_velar:voiced:labialized	
<NA>	÷ê}	ɳɖɽ	conso:stop:retroflex:voiced:prenasalized_rhotic	
<NA>	RD	ɾð	conso:flap:interdental:voiced:plain	
<NA>	StS	ʃtʃ	conso:fricative_to_affricate:postalveolar:voiceless:plain	
<NA>	S$	ʃ̀	conso:fricative:postalveolar:voiceless:tense	
<NA>	Sƒkw	ʃ͡kʷ	conso:fricative_to_stop:postalveolar_to_velar:voiceless:labialized	
<NA>	ÿ}	ʈɽ	conso:stop:retroflex:voiceless:rhotic	
<NA>	¬)N	ʉ̃ⁿ	vowel:high:central_rounded:postnasalized:plain	
<NA>	V+	ʋ*	conso:approximant:labiodental:voiced:lax	
<NA>	Z6	ʒ̥	conso:fricative:laminal_postalveolar:voiced:plain	
<NA>	ZƒÄw	ʒ͡ɣw	conso:fricative:postalveolar_to_velar:voiced:labialized	
<NA>	‡kx/	ʘkxʔ	conso:click:bilabial:voiceless:glottalized_kx_accompaniment	
<NA>	‡q	ʘq	conso:click:bilabial:voiceless:q_accompaniment	
<NA>	‡q/	ʘqʔ	conso:click:bilabial:voiceless:glottalized_q_accompaniment	
<NA>	‡qh	ʘqʰ	conso:click:bilabial:voiceless:aspirated_q_accompaniment	
<NA>	‡x	ʘx	conso:click:bilabial:voiceless:x_accompaniment	
<NA>	Bm	βm	conso:nasal_spirant:bilabial:voiced:plain	
<NA>	X$	χ̀	conso:fricative:uvular:voiceless:tense	
<NA>	X$w	χ̀ʷ	conso:fricative:uvular:voiceless:labialized_tense	
<NA>	e)/e)	ẽʔẽ	vowel:higher_mid:front_unrounded:interrupted_nasalized:plain	
<NA>	ndl	ⁿdl	conso:stop:lateral:voiced:prenasalized	
<NA>	ndl'	ⁿdlʼ	conso:stop:lateral:voiced:glottalized_prenasalized	
<NA>	ndl’	ⁿdlʼ	conso:stop:lateral:voiced:glottalized_prenasalized	
<NA>	ndB	ⁿdβ	conso:affricate:alveolar_to_bilabial:voiced:prenasalized	
<NA>	nt¸	ⁿtɸ	conso:affricate:alveolar_to_bilabial:voiceless:prenasalized	
n	N?	N?	conso:nasal:placeless:voiced:plain	◌n
n̩	N1	N̩	conso:nasal:placeless:voiced:syllabic	◌n ◌̩
a	a	a	vowel:low:central_unrounded:plain:plain	◌a
a̟	a+	a+	vowel:low:advanced_central_unrounded:plain:plain	◌a ◌̟
ai	ai	ai	vowel:low_to_high:central_unrounded_to_front:plain:plain	◌a ◌i
ai̯	ai9	ai̯	vowel:low_to_high_glide:central_unrounded_to_front:plain:plain	◌a ◌i ◌̯
ai	aj	aj	vowel:low_to_glide:central_unrounded_to_palatal:plain:plain	◌a ◌i
ao	ao	ao	vowel:low_to_higher_mid:central_unrounded_to_back_rounded:plain:plain	◌a ◌o
au	au	au	vowel:low_to_high:central_unrounded_to_back_rounded:plain:plain	◌a ◌u
aɪ	aI	aɪ	vowel:low_to_lower_high:central_unrounded_to_front:plain:plain	◌a ◌ɪ
aʉ	a¬	aʉ	vowel:low_to_high:central_unrounded_to_rounded:plain:plain	◌a ◌ʉ
aʊ	aU	aʊ	vowel:low_to_lower_high:central_unrounded_to_back_rounded:plain:plain	◌a ◌ʊ
aˀ	a/	aʔ	vowel:low:central_unrounded:glottalized:plain	◌a ◌ˀ
aː	a:	aː	vowel:low:central_unrounded:plain:long	◌a ◌ː
aː	aa	aː	vowel:low:central_unrounded:plain:long	◌a ◌ː
aː	a::	aːː	vowel:low:central_unrounded:plain:extra_long	◌a ◌ː
aˤ	a³	aˤ	vowel:low:central_unrounded:pharyngealized:plain	◌a ◌ˤ
aˤˀ	a³/	aˤʔ	vowel:low:central_unrounded:pharyngealized_glottalized:plain	◌a ◌ˤ ◌ˀ
a̝	a^	a̝	vowel:raised_low:central_unrounded:plain:plain	◌a ◌̝
a̝	a3	a̝	vowel:raised_low:central_unrounded:plain:plain	◌a ◌̝
a̝ː	aa^	a̝ː	vowel:raised_low:central_unrounded:plain:long	◌a ◌̝ ◌ː
a̞	>a	a̞	vowel:lowered_low:central_unrounded:plain:plain	◌a ◌̞
a̞	a4	a̞	vowel:lowered_low:central_unrounded:plain:plain	◌a ◌̞
a̠	a1	a̠	vowel:low:central_unrounded:ATR:plain	◌a ◌̠
a̤	aÐ	a̤	vowel:low:central_unrounded:plain:breathy	◌a ◌̤
a̤ˀ	aÐ/	a̤ʔ	vowel:low:central_unrounded:glottalized:breathy	◌a ◌̤ ◌ˀ
a̤ˤ	aÐ³	a̤ˤ	vowel:low:central_unrounded:pharyngealized:breathy	◌a ◌̤ ◌ˤ
a̰	a¼	a̰	vowel:low:central_unrounded:plain:creaky	◌a ◌̰
a̰ː	a¼:	a̰ː	vowel:low:central_unrounded:plain:creaky_long	◌a ◌̰ ◌ː
b	b	b	conso:stop:bilabial:voiced:plain	◌b
bv	bv	bv	conso:affricate:labiodental:voiced:plain	◌b ◌v
bʰ	bH	bʰ	conso:stop:bilabial:voiced:aspirated	◌b ◌ʰ
bʰ	bh	bʰ	conso:stop:bilabial:voiced:aspirated	◌b ◌ʰ
bʲ	bJ	bʲ	conso:stop:bilabial:voiced:palatalized	◌b ◌ʲ
bʲ	bj	bʲ	conso:stop:bilabial:voiced:palatalized	◌b ◌ʲ
