BIPA	NON_IPA	GRAPHEME	FEATURES	SYMBOLS
ɓ̥ˠ	º¥ì	ɓ̥ˠ	conso:implosive:bilabial:voiceless:velarized	◌ɓ ◌̥ ◌ˠ
ɔ		ɔ	vowel:lower_mid:back_rounded:plain:plain	◌ɔ
ɔi	i	ɔi	vowel:lower_mid_to_high:back_rounded_to_front_unrounded:plain:plain	◌ɔ ◌i
ɔi̯	i9	ɔi̯	vowel:lower_mid_to_high_glide:back_rounded_to_front_unrounded:plain:plain	◌ɔ ◌i ◌̯
ɔi	j	ɔj	vowel:lower_mid_to_glide:back_rounded_to_palatal:plain:plain	◌ɔ ◌i
ɔˀ	/	ɔʔ	vowel:lower_mid:back_rounded:glottalized:plain	◌ɔ ◌ˀ
ɔː	:	ɔː	vowel:lower_mid:back_rounded:plain:long	◌ɔ ◌ː
ɔː		ɔː	vowel:lower_mid:back_rounded:plain:long	◌ɔ ◌ː
ɔ̃	)	ɔ̃	vowel:lower_mid:back_rounded:nasalized:plain	◌ɔ ◌̃
ɔ̃ˀ	)/	ɔ̃ʔ	vowel:lower_mid:back_rounded:glottalized_nasalized:plain	◌ɔ ◌̃ ◌ˀ
ɔ̃ː	):	ɔ̃ː	vowel:lower_mid:back_rounded:nasalized:long	◌ɔ ◌̃ ◌ː
ɔ̘	1	ɔ̘	vowel:lower_mid:back_rounded:ATR:plain	◌ɔ ◌̘
ɔ̝	3	ɔ̝	vowel:raised_lower_mid:back_rounded:plain:plain	◌ɔ ◌̝
ɔ̝ː	3:	ɔ̝ː	vowel:raised_lower_mid:back_rounded:plain:long	◌ɔ ◌̝ ◌ː
ɔ̥	8	ɔ̥	vowel:lower_mid:back_rounded:plain:voiceless	◌ɔ ◌̥
ɕ	þ	ɕ	conso:fricative:alveolopalatal:voiceless:plain	◌ɕ
ɕʰ	þh	ɕʰ	conso:fricative:alveolopalatal:voiceless:aspirated	◌ɕ ◌ʰ
ɖ	ê	ɖ	conso:stop:retroflex:voiced:plain	◌ɖ
ɖʐ	ê½	ɖʐ	conso:affricate:retroflex:voiced:plain	◌ɖ ◌ʐ
ɖʰ	êH	ɖʰ	conso:stop:retroflex:voiced:aspirated	◌ɖ ◌ʰ
ɖʰ	êh	ɖʰ	conso:stop:retroflex:voiced:aspirated	◌ɖ ◌ʰ
ɖʲ	êj	ɖʲ	conso:stop:retroflex:voiced:palatalized	◌ɖ ◌ʲ
ɗ	ë	ɗ	conso:implosive:alveolar:voiced:plain	◌ɗ
ɗʷ	ëW	ɗʷ	conso:implosive:alveolar:voiced:labialized	◌ɗ ◌ʷ
ə	«	ə	vowel:mid:central_unrounded:plain:plain	◌ə
əe	«e	əe	vowel:mid_to_higher_mid:central_unrounded_to_front:plain:plain	◌ə ◌e
əi	«i	əi	vowel:mid_to_high:central_unrounded_to_front:plain:plain	◌ə ◌i
əo	«o	əo	vowel:mid_to_higher_mid:back_rounded_to_central_unrounded:plain:plain	◌ə ◌o
əu	«u	əu	vowel:mid_to_high:central_unrounded_to_back_rounded:plain:plain	◌ə ◌u
əː	«:	əː	vowel:mid:advanced_central_unrounded:plain:long	◌ə ◌ː
əː	««	əː	vowel:mid:central_unrounded:plain:long	◌ə ◌ː
ə˞	«Õ	ə˞	vowel:mid:central_unrounded:retroflex:plain	◌ə ◌˞
əˤ	«³	əˤ	vowel:mid:central_unrounded:pharyngealized:plain	◌ə ◌ˤ
ə̃	«)	ə̃	vowel:mid:central_unrounded:nasalized:plain	◌ə ◌̃
ə̃ː	«):	ə̃ː	vowel:mid:central_unrounded:nasalized:long	◌ə ◌̃ ◌ː
ə̆	«(	ə̆	vowel:mid:central_unrounded:plain:extra_short	◌ə ◌̆
ə̝	«3	ə̝	vowel:raised_mid:central_unrounded:plain:plain	◌ə ◌̝
ə̟	«+	ə̟	vowel:mid:advanced_central_unrounded:plain:plain	◌ə ◌̟
ə̯i	«9i	ə̯i	vowel:mid_glide_to_high:central_unrounded_to_front:plain:plain	◌ə ◌̯ ◌i
ɛ	E	ɛ	vowel:lower_mid:front_unrounded:plain:plain	◌ɛ
ɛi̯	Ei9	ɛi̯	vowel:lower_mid_to_high_glide:central_unrounded_to_front:plain:plain	◌ɛ ◌i ◌̯
ɛˀ	E/	ɛʔ	vowel:lower_mid:front_unrounded:glottalized:plain	◌ɛ ◌ˀ
ɛː	E:	ɛː	vowel:lower_mid:front_unrounded:plain:long	◌ɛ ◌ː
ɛː	EE	ɛː	vowel:lower_mid:front_unrounded:plain:long	◌ɛ ◌ː
ɛ̃	E)	ɛ̃	vowel:lower_mid:front_unrounded:nasalized:plain	◌ɛ ◌̃
ɛ̃ˀ	E)/	ɛ̃ʔ	vowel:lower_mid:front_unrounded:glottalized_nasalized:plain	◌ɛ ◌̃ ◌ˀ
ɛ̃ː	E):	ɛ̃ː	vowel:lower_mid:front_unrounded:nasalized:long	◌ɛ ◌̃ ◌ː
ɛ̘	E1	ɛ̘	vowel:lower_mid:front_unrounded:ATR:plain	◌ɛ ◌̘
ɛ̞	>E	ɛ̞	vowel:lowered_lower_mid:front_unrounded:plain:plain	◌ɛ ◌̞
ɛ̥	E8	ɛ̥	vowel:lower_mid:front_unrounded:plain:voiceless	◌ɛ ◌̥
ɜ	Î	ɜ	vowel:lower_mid:central_unrounded:plain:plain	◌ɜ
ɜː	Î:	ɜː	vowel:lower_mid:central_unrounded:plain:long	◌ɜ ◌ː
ɟ	ï	ɟ	conso:stop:palatal:voiced:plain	◌ɟ
ɟʝ	ïÆ	ɟʝ	conso:affricate:palatal:voiced:plain	◌ɟ ◌ʝ
ɟʰ	ïh	ɟʰ	conso:stop:palatal:voiced:aspirated	◌ɟ ◌ʰ
ɟʷ	ïw	ɟʷ	conso:stop:palatal:voiced:labialized	◌ɟ ◌ʷ
ɟ̥	ï*	ɟ̥	conso:stop:palatal:devoiced:plain	◌ɟ ◌̥
ɠ	©	ɠ	conso:implosive:velar:voiced:plain	◌ɠ
ɠʲ	©j	ɠʲ	conso:implosive:velar:voiced:palatalized	◌ɠ ◌ʲ
ɠʷ	©w	ɠʷ	conso:implosive:velar:voiced:labialized	◌ɠ ◌ʷ
ɠ̥	Ï8	ɠ̥	conso:implosive:velar:voiceless:plain	◌ɠ ◌̥
g	g	ɡ	conso:stop:velar:voiced:plain	◌g
gǀ	–g	ɡǀ	conso:click:dental:voiced:plain	◌g ◌ǀ
gǀ	g–	ɡǀ	conso:click:dental:voiced:plain	◌g ◌ǀ
gǀʰ	g–h	ɡǀʰ	conso:click:dental:voiced:aspirated	◌g ◌ǀ ◌ʰ
gǁ	„g	ɡǁ	conso:click:lateral:voiced:plain	◌g ◌ǁ
gǁ	g„	ɡǁ	conso:click:lateral:voiced:plain	◌g ◌ǁ
gǁʰ	g„h	ɡǁʰ	conso:click:lateral:voiced:aspirated	◌g ◌ǁ ◌ʰ
gǂ	œg	ɡǂ	conso:click:palatoalveolar:voiced:plain	◌g ◌ǂ
gǂ	gœ	ɡǂ	conso:click:palatoalveolar:voiced:plain	◌g ◌ǂ
gǂʰ	gœh	ɡǂʰ	conso:click:palatoalveolar:voiced:aspirated	◌g ◌ǂ ◌ʰ
gǃ	—g	ɡǃ	conso:click:alveolar:voiced:plain	◌g ◌ǃ
gǃ	g—	ɡǃ	conso:click:alveolar:voiced:plain	◌g ◌ǃ
gǃʰ	g—h	ɡǃʰ	conso:click:alveolar:voiced:aspirated	◌g ◌ǃ ◌ʰ
gʘ	‡g	ɡʘ	conso:click:bilabial:voiced:plain	◌g ◌ʘ
gʘʰ	g‡h	ɡʘʰ	conso:click:bilabial:voiced:aspirated	◌g ◌ʘ ◌ʰ
gʰ	gH	ɡʰ	conso:stop:velar:voiced:aspirated	◌g ◌ʰ
gʲ	gJ	ɡʲ	conso:stop:velar:voiced:palatalized	◌g ◌ʲ
gʷ	gW	ɡʷ	conso:stop:velar:voiced:labialized	◌g ◌ʷ
gʷː	gw:	ɡʷː	conso:stop:velar:voiced_long:labialized	◌g ◌ʷ ◌ː
gː	g:	ɡː	conso:stop:velar:voiced_long:plain	◌g ◌ː
gˤ	g³	ɡˤ	conso:stop:velar:voiced:pharyngealized	◌g ◌ˤ
g̊	g*	ɡ̥	conso:stop:velar:devoiced:plain	◌g ◌̊
gb	gƒb	ɡ͡b	conso:stop:labiovelar:voiced:plain	◌g ◌b
gbʲ	gƒbj	ɡ͡bʲ	conso:stop:labiovelar:voiced:palatalized	◌g ◌b ◌ʲ
gbʷ	gƒbw	ɡ͡bʷ	conso:stop:labiovelar:voiced:labialized	◌g ◌b ◌ʷ
ɢ	G	ɢ	conso:stop:uvular:voiced:plain	◌ɢ
ɢˤ	G³	ɢˤ	conso:stop:uvular:voiced:pharyngealized	◌ɢ ◌ˤ
ɣ	Ä	ɣ	conso:fricative:velar:voiced:plain	◌ɣ
ɣʰ	Äh	ɣʰ	conso:fricative:velar:voiced:aspirated	◌ɣ ◌ʰ
ɣʲ	Äj	ɣʲ	conso:fricative:velar:voiced:palatalized	◌ɣ ◌ʲ
ɣʷ	Äw	ɣʷ	conso:fricative:velar:voiced:labialized	◌ɣ ◌ʷ
ɣʼ	Ä'	ɣʼ	conso:fricative:velar:voiced:glottalized	◌ɣ ◌’
ɣʼ	Ä’	ɣʼ	conso:fricative:velar:voiced:glottalized	◌ɣ ◌’
ɣː	g&	ɣː	conso:fricative:velar:voiced_long:plain	◌ɣ ◌ː
ɤ	F	ɤ	vowel:higher_mid:back_unrounded:plain:plain	◌ɤ
ɤː	F:	ɤː	vowel:higher_mid:back_unrounded:plain:long	◌ɤ ◌ː
ɤː	FF	ɤː	vowel:higher_mid:back_unrounded:plain:long	◌ɤ ◌ː
ɥ	ç	ɥ	conso:approximant:labiopalatal:voiced:plain	◌ɥ
ɥ̥	ç8	ɥ̥	conso:approximant:labiopalatal:voiceless:plain	◌ɥ ◌̥
ɦ	ú	ɦ	conso:fricative:glottal:voiced:plain	◌ɦ
ɦʲ	úw	ɦʲ	conso:fricative:glottal:voiced:palatalized	◌ɦ ◌ʲ
ɦʷ	új	ɦʷ	conso:fricative:glottal:voiced:labialized	◌ɦ ◌ʷ
ɦ̃	ú)	ɦ̃	conso:fricative:glottal:voiced:nasalized	◌ɦ ◌̃
ɨ	ö	ɨ	vowel:high:central_unrounded:plain:plain	◌ɨ
ɨː	ö:	ɨː	vowel:high:central_unrounded:plain:long	◌ɨ ◌ː
ɨː	öö	ɨː	vowel:high:central_unrounded:plain:long	◌ɨ ◌ː
ɨː	ö::	ɨːː	vowel:high:central_unrounded:plain:extra_long	◌ɨ ◌ː
ɨ˞	öÕ	ɨ˞	vowel:high:central_unrounded:retroflex:plain	◌ɨ ◌˞
ɨ̃	®)	ɨ̃	vowel:high:central_unrounded:nasalized:plain	◌ɨ ◌̃
ɨ̃	ö)	ɨ̃	vowel:high:central_unrounded:nasalized:plain	◌ɨ ◌̃
ɨ̃ː	ö):	ɨ̃ː	vowel:high:central_unrounded:nasalized:long	◌ɨ ◌̃ ◌ː
ɨ̞	®	ɨ̞	vowel:lower_high:central_unrounded:plain:plain	◌ɨ ◌̞
ɪ	I	ɪ	vowel:lower_high:front_unrounded:plain:plain	◌ɪ
ɪɛ	IE	ɪɛ	vowel:lower_high_to_lower_mid:front_unrounded:plain:plain	◌ɪ ◌ɛ
ɪː	I:	ɪː	vowel:lower_high:front_unrounded:plain:long	◌ɪ ◌ː
ɪː	II	ɪː	vowel:lower_high:front_unrounded:plain:long	◌ɪ ◌ː
ɪ̃	I)	ɪ̃	vowel:lower_high:front_unrounded:nasalized:plain	◌ɪ ◌̃
ɪ̃ː	I):	ɪ̃ː	vowel:lower_high:front_unrounded:nasalized:long	◌ɪ ◌̃ ◌ː
ɪ̘	I1	ɪ̘	vowel:lower_high:front_unrounded:ATR:plain	◌ɪ ◌̘
ɪ̥	I8	ɪ̥	vowel:lower_high:front_unrounded:plain:voiceless	◌ɪ ◌̥
ɪ̥	I¥	ɪ̥	vowel:lower_high:front_unrounded:plain:voiceless	◌ɪ ◌̥
ɬ	Â	ɬ	conso:fricative:lateral:voiceless:plain	◌ɬ
ɬʷ	Âw	ɬʷ	conso:fricative:lateral:voiceless:labialized	◌ɬ ◌ʷ
ɬʼ	Â'	ɬʼ	conso:fricative:lateral:voiceless:glottalized	◌ɬ ◌ʼ
ɬʼ	Â/	ɬʼ	conso:fricative:lateral:voiceless:glottalized	◌ɬ ◌ʼ
ɬʼ	Â’	ɬʼ	conso:fricative:lateral:voiceless:glottalized	◌ɬ ◌ʼ
ɭ	ñ	ɭ	conso:lateral_approximant:retroflex:voiced:plain	◌ɭ
ɮ	L	ɮ	conso:fricative:lateral:voiced:plain	◌ɮ
ɯ	µ	ɯ	vowel:high:back_unrounded:plain:plain	◌ɯ
ɯə	µ«	ɯə	vowel:high_to_mid:back_unrounded_to_central:plain:plain	◌ɯ ◌ə
ɯː	µ:	ɯː	vowel:high:back_unrounded:plain:long	◌ɯ ◌ː
ɯː	µµ	ɯː	vowel:high:back_unrounded:plain:long	◌ɯ ◌ː
ɯ̃	µ)	ɯ̃	vowel:high:back_unrounded:nasalized:plain	◌ɯ ◌̃
ɰ	å	ɰ	conso:approximant:velar:voiced:plain	◌ɰ
ɰ	µ9	ɰ	conso:approximant:velar:voiced:plain	◌ɰ
ɰʼ	å'	ɰʼ	conso:approximant:velar:voiced:glottalized	◌ɰ ◌’
ɰʼ	å’	ɰʼ	conso:approximant:velar:voiced:glottalized	◌ɰ ◌’
ɲ	ø	ɲ	conso:nasal:palatal:voiced:plain	◌ɲ
ɲʰ	øH	ɲʰ	conso:nasal:palatal:voiced:aspirated	◌ɲ ◌ʰ
ɲː	ø:	ɲː	conso:nasal:palatal:voiced_long:plain	◌ɲ ◌ː
ɲ̊	ø8	ɲ̥	conso:nasal:palatal:voiceless:plain	◌ɲ ◌̊
ɲ̊	ø¥	ɲ̥	conso:nasal:palatal:voiceless:plain	◌ɲ ◌̊
ɲ̥ʰ	ø8H	ɲ̥ʰ	conso:nasal:palatal:voiceless:aspirated	◌ɲ ◌̥ ◌ʰ
ɳ	÷	ɳ	conso:nasal:retroflex:voiced:plain	◌ɳ
ɳʷ	÷w	ɳʷ	conso:nasal:retroflex:voiced:labialized	◌ɳ ◌ʷ
ɴ	²	ɴ	conso:nasal:uvular:voiced:plain	◌ɴ
ɴʼ	²'	ɴʼ	conso:nasal:uvular:voiced:glottalized	◌ɴ ◌’
ɴʼ	²’	ɴʼ	conso:nasal:uvular:voiced:glottalized	◌ɴ ◌’
ɵ	P	ɵ	vowel:higher_mid:central_rounded:plain:plain	◌ɵ
ɸ	¸	ɸ	conso:fricative:bilabial:voiceless:plain	◌ɸ
ɹ	¨	ɹ	conso:approximant:alveolar:voiced:plain	◌ɹ
ɹ	¾â	ɹ	conso:approximant:alveolar:voiced:plain	◌ɹ
ɹː	¨:	ɹː	conso:approximant:alveolar:voiced_long:plain	◌ɹ ◌ː
ɺ	ä	ɺ	conso:flap:lateral:voiced:plain	◌ɺ
ɻ	Ó	ɻ	conso:approximant:retroflex:voiced:plain	◌ɻ
ɽ	}	ɽ	conso:flap:retroflex:voiced:plain	◌ɽ
ɽʰ	}H	ɽʰ	conso:flap:retroflex:voiced:aspirated	◌ɽ ◌ʰ
ɽʰ	}h	ɽʰ	conso:flap:retroflex:voiced:aspirated	◌ɽ ◌ʰ
ɾ	R	ɾ	conso:flap:alveolar:voiced:plain	◌ɾ
ɾʲ	Rj	ɾʲ	conso:flap:alveolar:voiced:palatalized	◌ɾ ◌ʲ
ɾˡ	R:	ɾˡ	conso:flap:lateral:voiced:plain	◌ɾ ◌ˡ
ɾˤ	R³	ɾˤ	conso:flap:alveolar:voiced:pharyngealized	◌ɾ ◌ˤ
ɾ̃	n&	ɾ̃	conso:flap:alveolar:voiced:nasalized	◌ɾ ◌̃
ɾ̪	R5	ɾ̪	conso:flap:dental:voiced:plain	◌ɾ ◌̪
ɾ̪ˤ	R5³	ɾ̪ˤ	conso:flap:dental:voiced:pharyngealized	◌ɾ ◌̪ ◌ˤ
ʀ	{	ʀ	conso:trill:uvular:voiced:plain	◌ʀ
ʀʼ	{'	ʀʼ	conso:trill:uvular:voiced:glottalized	◌ʀ ◌’
ʀʼ	{’	ʀʼ	conso:trill:uvular:voiced:glottalized	◌ʀ ◌’
ʁ	Ò	ʁ	conso:fricative:uvular:voiced:plain	◌ʁ
ʁʲ	Òj	ʁʲ	conso:fricative:uvular:voiced:palatalized	◌ʁ ◌ʲ
ʁʷ	Òw	ʁʷ	conso:fricative:uvular:voiced:labialized	◌ʁ ◌ʷ
ʁː	Ò:	ʁː	conso:fricative:uvular:voiced_long:plain	◌ʁ ◌ː
ʁˤ	Ò³	ʁˤ	conso:fricative:uvular:voiced:pharyngealized	◌ʁ ◌ˤ
ʁʷˤ	Ò³w	ʁˤʷ	conso:fricative:uvular:voiced:pharyngealized_labialized	◌ʁ ◌ʷ ◌ˤ
ʂ	§	ʂ	conso:fricative:retroflex:voiceless:plain	◌ʂ
ʂʰ	§h	ʂʰ	conso:fricative:retroflex:voiceless:aspirated	◌ʂ ◌ʰ
ʃ	S	ʃ	conso:fricative:postalveolar:voiceless:plain	◌ʃ
ʃʲ	Sj	ʃʲ	conso:fricative:postalveolar:voiceless:palatalized	◌ʃ ◌ʲ
ʃʷ	SW	ʃʷ	conso:fricative:postalveolar:voiceless:labialized	◌ʃ ◌ʷ
ʃʼ	S'	ʃʼ	conso:fricative:postalveolar:voiceless:glottalized	◌ʃ ◌ʼ
ʃʼ	S’	ʃʼ	conso:fricative:postalveolar:voiceless:glottalized	◌ʃ ◌ʼ
ʃʼʷ	S’w	ʃʼʷ	conso:fricative:alveolar:voiceless:glottalized_labialized	◌ʃ ◌’ ◌ʷ
ʃʼʷ	S'w	ʃʼʷ	conso:fricative:alveolar:voiceless:glottalized_labialized	◌ʃ ◌’ ◌ʷ
ʃː	S:	ʃː	conso:fricative:postalveolar:voiceless_long:plain	◌ʃ ◌ː
ʃː	SS	ʃː	conso:fricative:postalveolar:voiceless_long:plain	◌ʃ ◌ː
ʃ̥ʷ	S6w	ʃ̥ʷ	conso:fricative:laminal_postalveolar:voiceless:labialized	◌ʃ ◌̥ ◌ʷ
ʄ	×	ʄ	conso:implosive:palatal:voiced:plain	◌ʄ
ʄ̥	‚	ʄ̥	conso:implosive:palatal:voiceless:plain	◌ʄ ◌̥
ʈ	ÿ	ʈ	conso:stop:retroflex:voiceless:plain	◌ʈ
ʈʂ	ÿ§	ʈʂ	conso:affricate:retroflex:voiceless:plain	◌ʈ ◌ʂ
ʈʂʰ	ÿ§H	ʈʂʰ	conso:affricate:retroflex:voiceless:aspirated	◌ʈ ◌ʂ ◌ʰ
ʈʂʼ	ÿ§'	ʈʂʼ	conso:affricate:retroflex:voiceless:glottalized	◌ʈ ◌ʂ ◌’
ʈʂʼ	ÿ§’	ʈʂʼ	conso:affricate:retroflex:voiceless:glottalized	◌ʈ ◌ʂ ◌’
ʈʰ	ÿH	ʈʰ	conso:stop:retroflex:voiceless:aspirated	◌ʈ ◌ʰ
ʈʰ	ÿh	ʈʰ	conso:stop:retroflex:voiceless:aspirated	◌ʈ ◌ʰ
ʈʲ	ÿj	ʈʲ	conso:stop:retroflex:voiceless:palatalized	◌ʈ ◌ʲ
ʈʲʰ	ÿjh	ʈʲʰ	conso:stop:retroflex:voiceless:aspirated_palatalized	◌ʈ ◌ʲ ◌ʰ
ʈⁿ	ÿ÷	ʈⁿ	conso:stop:retroflex:voiceless:postnasalized	◌ʈ ◌ⁿ
ʉ	¬	ʉ	vowel:high:central_rounded:plain:plain	◌ʉ
ʉː̟	¬+:	ʉ̟ː	vowel:high:advanced_central_rounded:plain:long	◌ʉ ◌ː ◌̟
ʊ	U	ʊ	vowel:lower_high:back_rounded:plain:plain	◌ʊ
ʊɔ	U	ʊɔ	vowel:lower_high_to_lower_mid:back_rounded:plain:plain	◌ʊ ◌ɔ
ʊʏ̯	UY9	ʊʏ̯	vowel:lower_high_to_high_glide:back_rounded_to_front_unrounded:plain:plain	◌ʊ ◌ʏ ◌̯
ʊː	U:	ʊː	vowel:lower_high:back_rounded:plain:long	◌ʊ ◌ː
ʊː	UU	ʊː	vowel:lower_high:back_rounded:plain:long	◌ʊ ◌ː
ʊ̃	U)	ʊ̃	vowel:lower_high:back_rounded:nasalized:plain	◌ʊ ◌̃
ʊ̃ː	U):	ʊ̃ː	vowel:lower_high:back_rounded:nasalized:long	◌ʊ ◌̃ ◌ː
ʊ̘	U1	ʊ̘	vowel:lower_high:back_rounded:ATR:plain	◌ʊ ◌̘
ʊ̥	U8	ʊ̥	vowel:lower_high:back_rounded:plain:voiceless	◌ʊ ◌̥
ʋ	V	ʋ	conso:approximant:labiodental:voiced:plain	◌ʋ
ʋʰ	Vh	ʋʰ	conso:approximant:labiodental:voiced:aspirated	◌ʋ ◌ʰ
ʋʲ	Vj	ʋʲ	conso:approximant:labiodental:voiced:palatalized	◌ʋ ◌ʲ
ʋ̃	V)	ʋ̃	conso:approximant:labiodental:voiced:nasalized	◌ʋ ◌̃
ʌ	Ã	ʌ	vowel:lower_mid:back_unrounded:plain:plain	◌ʌ
ʌː	Ã:	ʌː	vowel:lower_mid:back_unrounded:plain:long	◌ʌ ◌ː
ʌ̃	Ã)	ʌ̃	vowel:lower_mid:back_unrounded:nasalized:plain	◌ʌ ◌̃
ʌ̃ː	Ã):	ʌ̃ː	vowel:lower_mid:back_unrounded:nasalized:long	◌ʌ ◌̃ ◌ː
ʌ̆	Ã(	ʌ̆	vowel:lower_mid:back_unrounded:plain:extra_short	◌ʌ ◌̆
ʌ̝	Ã£	ʌ̝	vowel:raised_lower_mid:back_unrounded:plain:plain	◌ʌ ◌̝
ʌ̤	Ã-	ʌ̤	vowel:lower_mid:back_unrounded:plain:breathy	◌ʌ ◌̤
ʌ̤ː	Ã-Ã-	ʌ̤ː	vowel:lower_mid:back_unrounded:plain:breathy_long	◌ʌ ◌̤ ◌ː
ʍ	w8	ʍ	conso:approximant:labiovelar:voiceless:plain	◌ʍ
ʎ	´	ʎ	conso:lateral_approximant:palatal:voiced:plain	◌ʎ
ʎ̥	´8	ʎ̥	conso:lateral_approximant:palatal:voiceless:plain	◌ʎ ◌̥
ʏ	Y	ʏ	vowel:lower_high:front_rounded:plain:plain	◌ʏ
ʐ	½	ʐ	conso:fricative:retroflex:voiced:plain	◌ʐ
ʑ	ü	ʑ	conso:fricative:alveolopalatal:voiced:plain	◌ʑ
ʒ	Z	ʒ	conso:fricative:postalveolar:voiced:plain	◌ʒ
ʒʰ	Zʰ	ʒʰ	conso:fricative:postalveolar:voiced:aspirated	◌ʒ ◌ʰ
ʒʰ	Zh	ʒʰ	conso:fricative:postalveolar:voiced:aspirated	◌ʒ ◌ʰ
ʒʲ	Zj	ʒʲ	conso:fricative:postalveolar:voiced:palatalized	◌ʒ ◌ʲ
ʒʷ	Zw	ʒʷ	conso:fricative:postalveolar:voiced:labialized	◌ʒ ◌ʷ
ʒʷ	ZW	ʒʷ	conso:fricative:postalveolar:voiced:labialized	◌ʒ ◌ʷ
ʒː	Z:	ʒː	conso:fricative:postalveolar:voiced_long:plain	◌ʒ ◌ː
ʒʱ	Z_	ʒ̤	conso:fricative:postalveolar:breathy:plain	◌ʒ ◌ʱ
ʒ̥ʷ	Z6w	ʒ̥ʷ	conso:fricative:laminal_postalveolar:voiced:labialized	◌ʒ ◌̥ ◌ʷ
ʔ	/	ʔ	conso:stop:glottal:voiceless:plain	◌ʔ
ˀb	/b	ʔb	conso:stop:bilabial:voiced:preglottalized	◌ˀ ◌b
ˀb	‘b	ʔb	conso:stop:bilabial:voiced:preglottalized	◌ˀ ◌b
ˀd	/d	ʔd	conso:stop:alveolar:voiced:preglottalized	◌ˀ ◌d
ˀd	‘d	ʔd	conso:stop:alveolar:voiced:preglottalized	◌ˀ ◌d
ˀj	/j	ʔj	conso:approximant:palatal:voiced:preglottalized	◌ˀ ◌j
ˀj	‘j	ʔj	conso:approximant:palatal:voiced:preglottalized	◌ˀ ◌j
ˀk	‘k	ʔk	conso:stop:velar:voiceless:preglottalized	◌ˀ ◌k
ˀl	/l	ʔl	conso:lateral_approximant:lateral:voiced:preglottalized	◌ˀ ◌l
ˀl	‘l	ʔl	conso:lateral_approximant:lateral:voiced:preglottalized	◌ˀ ◌l
ˀm	/m	ʔm	conso:nasal:bilabial:voiced:preglottalized	◌ˀ ◌m
ˀm	‘m	ʔm	conso:nasal:bilabial:voiced:preglottalized	◌ˀ ◌m
ˀn	/n	ʔn	conso:nasal:alveolar:voiced:preglottalized	◌ˀ ◌n
ˀn	‘n	ʔn	conso:nasal:alveolar:voiced:preglottalized	◌ˀ ◌n
ˀp	‘p	ʔp	conso:stop:bilabial:voiceless:preglottalized	◌ˀ ◌p
ˀt	‘t	ʔt	conso:stop:alveolar:voiceless:preglottalized	◌ˀ ◌t
ˀw	/edw	ʔw	conso:approximant:labiovelar:voiced:preglottalized	◌ˀ ◌w
ˀw	‘w	ʔw	conso:approximant:labiovelar:voiced:preglottalized	◌ˀ ◌w
ˀǀ̃	/–n	ʔǀn	conso:click:dental:voiceless:nasalized_preglottalized	◌ˀ ◌ǀ ◌̃
ˀǁ̃	/„n	ʔǁn	conso:click:lateral:voiceless:glottalized_prenasalized	◌ˀ ◌ǁ ◌̃
ˀǂ̃	/œn	ʔǂn	conso:click:palatoalveolar:voiceless:nasalized_preglottalized	◌ˀ ◌ǂ ◌̃
ˀǃ̃	/—n	ʔǃn	conso:click:alveolar:voiceless:nasalized_preglottalized	◌ˀ ◌ǃ ◌̃
ǃ̃ˀ	/‡n	ʔʘn	conso:click:bilabial:voiceless:glottalized_prenasalized	◌ǃ ◌̃ ◌ˀ
ʔʷ	/w	ʔʷ	conso:stop:glottal:voiceless:labialized	◌ʔ ◌ʷ
ʔˤ	/³	ʔˤ	conso:stop:glottal:voiceless:pharyngealized	◌ʔ ◌ˤ
ʕ	Ö	ʕ	conso:fricative:pharyngeal:voiced:plain	◌ʕ
ʕʷ	Öw	ʕʷ	conso:fricative:pharyngeal:voiced:labialized	◌ʕ ◌ʷ
ʕʼ	Ö'	ʕʼ	conso:fricative:pharyngeal:voiced:glottalized	◌ʕ ◌’
ʕʼ	Ö’	ʕʼ	conso:fricative:pharyngeal:voiced:glottalized	◌ʕ ◌’
ʕʼʷ	Ö’w	ʕʼʷ	conso:fricative:pharyngeal:voiced:glottalized_labialized	◌ʕ ◌’ ◌ʷ
ʕʼʷ	Ö'w	ʕʼʷ	conso:fricative:pharyngeal:voiced:glottalized_labialized	◌ʕ ◌’ ◌ʷ
ʘ	‡	ʘ	conso:click:bilabial:voiceless:plain	◌ʘ
ʘ̃	‡n	ʘn	conso:click:bilabial:voiceless:nasalized	◌ʘ ◌̃
ʘ̃	‡n8	ʘn̥	conso:click:bilabial:voiceless:voiceless_nasalized	◌ʘ ◌̃
ʘˀ	‡/	ʘʔ	conso:click:bilabial:voiceless:glottalized	◌ʘ ◌ˀ
ʘʰ	‡h	ʘʰ	conso:click:bilabial:voiceless:aspirated	◌ʘ ◌ʰ
ʛ	ý	ʛ	conso:implosive:uvular:voiced:plain	◌ʛ
ʝ	Æ	ʝ	conso:fricative:palatal:voiced:plain	◌ʝ
ʝʼ	Æ'	ʝʼ	conso:fricative:palatal:voiced:glottalized	◌ʝ ◌’
ʝʼ	Æ’	ʝʼ	conso:fricative:palatal:voiced:glottalized	◌ʝ ◌’
β	B	β	conso:fricative:bilabial:voiced:plain	◌β
θ	T	θ	conso:fricative:interdental:voiceless:plain	◌θ
θʼ	T'	θʼ	conso:fricative:interdental:voiceless:glottalized	◌θ ◌’
θʼ	T’	θʼ	conso:fricative:interdental:voiceless:glottalized	◌θ ◌’
